Organism_Name,Genome.composition
Tomato leaf curl Diana virus,ssDNA(+/-)
Bovine parvovirus-1,ssDNA(+/-)
Tomato leaf curl Anjouan virus,ssDNA(+/-)
Tobacco mottle leaf curl virus,ssDNA(+/-)
Tobacco leaf curl betasatellite-[Pakistan:Multan:Pedilanthus:2004],ssDNA
Tobacco leaf rugose virus,ssDNA(+/-)
Human papillomavirus type 30,dsDNA
Tobacco leaf curl Comoros virus,ssDNA(+/-)
Sida Brazil virus,ssDNA(+/-)
Hollyhock leaf curl virus,ssDNA(+/-)
Eupatorium yellow vein virus-[SOJ3],ssDNA(+/-)
East African cassava mosaic Malawi virus-Malawi[K],ssDNA(+/-)
Clerodendrum golden mosaic Jiangsu virus,ssDNA(+/-)
Chilli leaf curl India virus,ssDNA(+/-)
Aspergillus fumigatus chrysovirus,dsRNA
Tellina virus 1,dsRNA
Lacanobia oleracea granulovirus,dsDNA
Cacao yellow mosaic virus,ssRNA(+)
Belladonna mottle virus,ssRNA(+)
Carnation latent virus,ssRNA(+)
Finkel-Biskis-Jinkins murine sarcoma virus,ssRNA-RT
Garlic mite-borne filamentous virus,ssRNA(+)
Mosso das Pedras virus,ssRNA(+)
Artichoke yellow ringspot virus,ssRNA(+)
Pongine gammaherpesvirus 2,dsDNA
Panine gammaherpesvirus 1,dsDNA
Redbud yellow ringspot-associated emaravirus,ssRNA(-)
Japanese soil-borne wheat mosaic virus,ssRNA(+)
Citrus leprosis virus C2,ssRNA(+)
Cryptosporidium parvum virus 1,dsRNA
Heterobasidion partitivirus 8,dsRNA
Heterobasidion partitivirus 2,dsRNA
Crimson clover cryptic virus 2,dsRNA
Heterobasidion partitivirus 3,dsRNA
Heterobasidion partitivirus 15,dsRNA
Heterobasidion partitivirus 13,dsRNA
Heterobasidion partitivirus 12,dsRNA
Heterobasidion partitivirus 1,dsRNA
Flammulina velutipes browning virus,dsRNA
Tomato golden vein virus,ssDNA(+/-)
Rhynchosia rugose golden mosaic virus-[Cuba:Camaguey:171:2009],ssDNA(+/-)
Rhynchosia golden mosaic Sinaloa virus,ssDNA(+/-)
Jacquemontia mosaic Yucatan virus,ssDNA(+/-)
Tetterwort vein chlorosis virus,ssRNA(+)
Verticillium dahliae chrysovirus 1,dsRNA
Lilac ring mottle virus,ssRNA(+)
Rice stripe necrosis virus,ssRNA(+)
Mulberry mosaic leaf roll associated virus,ssRNA(+)
Melon mild mottle virus,ssRNA(+)
Aeonium ringspot virus,ssRNA(+)
Cucurbit mild mosaic virus,ssRNA(+)
Urochloa hoja blanca tenuivirus,ssRNA(-)
Coffee ringspot dichorhavirus,ssRNA(-)
Maize stripe tenuivirus,ssRNA(-)
Koongol virus,ssRNA(-)
Guama virus,ssRNA(-)
Guajara orthobunyavirus,ssRNA(-)
Catu virus,ssRNA(-)
Bimiti virus,ssRNA(-)
Anopheles B virus,ssRNA(-)
Lukuni virus,ssRNA(-)
Alajuela virus,ssRNA(-)
Hazara virus,ssRNA(-)
Jonchet virus,ssRNA(-)
Tobacco latent virus,ssRNA(+)
Heterocapsa circularisquama DNA virus 01,dsDNA
Satellite tobacco necrosis virus 2,ssRNA(+)
Trichomonas vaginalis virus 4,dsRNA
Xanthophyllomyces dendrorhous virus L1B,dsRNA
Tuber aestivum virus 1,dsRNA
Scheffersomyces segobiensis virus L,dsRNA
Rockport virus,ssRNA(-)
Petunia asteroid mosaic virus,ssRNA(+)
Limonium flower distortion virus,ssRNA(+)
Havel River virus,ssRNA(+)
Tomato yellow leaf curl Yunnan betasatellite,ssDNA
Tomato yellow leaf curl Shandong betasatellite,ssDNA
Tomato yellow leaf curl Rajasthan betasatellite,ssDNA
Tomato leaf curl Malaysia betasatellite,ssDNA
Tomato leaf curl Laguna betasatellite,ssDNA
Tomato leaf curl Bangalore betasatellite,ssDNA
Tobacco leaf curl Patna betasatellite,ssDNA
Siegesbeckia yellow vein betasatellite,ssDNA
Rhynchosia yellow mosaic betasatellite,ssDNA
Papaya leaf curl betasatellite-Panipat 6 [India:Panipat:Papaya:2008],ssDNA
Papaya leaf curl China betasatellite [China:Hainan:2014],ssDNA
Okra leaf curl Oman betasatellite,ssDNA
Honeysuckle yellow vein mosaic betasatellite,ssDNA
Eupatorium yellow vein mosaic betasatellite,ssDNA
Chili leaf curl Sri Lanka betasatellite,ssDNA
Tomato leaf curl Joydebpur betasatellite [India/Jaunpur/Chilli/2007],ssDNA
Tonate virus,ssRNA(+)
Rio Negro virus,ssRNA(+)
Pixuna virus,ssRNA(+)
Mucambo virus,ssRNA(+)
Everglades virus,ssRNA(+)
Cabassou virus,ssRNA(+)
Harvey murine sarcoma virus,ssRNA-RT
Cryphonectria parasitica mycoreovirus 2 (C18),dsRNA
Oat sterile dwarf virus,dsRNA
Porcine associated porprismacovirus 4,ssDNA
Odonata-associated circular virus 21,ssDNA
Wuharv parvovirus 1,ssDNA(+/-)
Giraffa camelopardalis papillomavirus 1,dsDNA
White-tufted-ear marmoset simian foamy virus,ssRNA-RT
Brown greater galago prosimian foamy virus,ssRNA-RT
Camel associated porprismacovirus 2,ssDNA
Magnaporthe oryzae chrysovirus 1,dsRNA
Southwest carpet python virus,ssRNA(-)
Synedrella yellow vein clearing virus,ssDNA(+/-)
Jatropha leaf curl Gujarat virus,ssDNA(+/-)
Transmissible gastroenteritis virus,ssRNA(+)
Euphorbia mosaic Peru virus,ssDNA(+/-)
Subterranean clover stunt virus,ssDNA(+)
Carrot cryptic virus,dsRNA
Faba bean yellow leaf virus,ssDNA(+)
Tomato leaf curl Cameroon alphasatellite [CM:TOS2D1:To:09],ssDNA
Rhynchosia golden mosaic Havana virus-[Cuba:Havana:28:2007],ssDNA(+/-)
Olive latent ringspot virus,ssRNA(+)
Malvastrum yellow mosaic Jamaica virus,ssDNA(+/-)
Cotton chlorotic spot virus,ssDNA(+/-)
Cabbage leaf curl Jamaica virus,ssDNA(+/-)
Bean golden yellow mosaic virus-[Dominican Republic],ssDNA(+/-)
Pulau reovirus,dsRNA
Sitke waterborne virus,ssRNA(+)
Iranian wheat stripe tenuivirus,ssRNA(-)
Echinochloa hoja blanca tenuivirus,ssRNA(-)
Neckar River virus,ssRNA(+)
Rhynchosia yellow mosaic virus,ssDNA(+/-)
Actinidia chlorotic ringspot-associated virus,ssRNA(-)
Dioscorea bacilliform RT virus 2,dsDNA-RT
Whitefly-associated begomovirus 4,ssDNA(+/-)
Cardamom bushy dwarf virus,ssDNA(+)
Bombyx mori densovirus 1,ssDNA(+/-)
Blueberry latent spherical virus,ssRNA(+)
Nome phantom orthophasmavirus,ssRNA(-)
Puma lentivirus 14,ssRNA-RT
Beet cryptic virus 2,dsRNA
Diodia vein chlorosis virus,ssRNA(+)
Kairi virus,ssRNA(-)
Gamboa virus,ssRNA(-)
Batama virus,ssRNA(-)
Herbert virus strain F23/CI/2004,ssRNA(-)
Yakeshi virus,ssRNA(-)
Choristoneura occidentalis cypovirus 16,dsRNA
Ryukyu mammarenavirus,ssRNA(+/-)
Whitefly associated Guatemala alphasatellite 2,ssDNA
Quaranfil quaranjavirus,ssRNA(-)
Cryphonectria nitschkei chrysovirus 1,dsRNA
Human metapneumovirus,ssRNA(-)
Chicken megrivirus,ssRNA(+)
Avian metapneumovirus,ssRNA(-)
Scophthalmus maximus reovirus,dsRNA
Green River chinook virus,dsRNA
Warrego virus,dsRNA
Orungo virus,dsRNA
Lebombo virus,dsRNA
Eubenangee virus,dsRNA
Equine encephalosis virus,dsRNA
Bohle iridovirus,dsDNA
Corriparta virus,dsRNA
Sweet potato mild speckling virus,ssRNA(+)
Gloriosa stripe mosaic virus,ssRNA(+)
Yam chlorotic necrotic mosaic virus,ssRNA(+)
Broad-leafed dock virus A,ssRNA(+)
Artibeus planirostris polyomavirus 1,dsDNA
Saimiri sciureus polyomavirus 1,dsDNA
Sturnira lilium polyomavirus 1,dsDNA
Koala retrovirus,ssRNA-RT
Artibeus planirostris polyomavirus 3,dsDNA
Artibeus planirostris polyomavirus 2,dsDNA
Bat polyomavirus 5b,dsDNA
Beet soil-borne mosaic virus,ssRNA(+)
Avian avulavirus 1,ssRNA(-)
Heterosigma akashiwo virus 01,dsDNA
Royal Farm virus,ssRNA(+)
Thiafora orthonairovirus,ssRNA(-)
Paramecium bursaria Chlorella virus IL3A,dsDNA
Phaseolus vulgaris alphaendornavirus 1,dsRNA
Kyasanur Forest disease virus,ssRNA(+)
Cyclovirus VN,ssDNA(+/-)
Bell pepper alphaendornavirus,dsRNA
Dragonfly associated cyclovirus 4,ssDNA(+/-)
Agrotis segetum granulovirus,dsDNA
Fathead minnow picornavirus,ssRNA(+)
Ovine hokovirus,ssDNA(+/-)
Parvovirus YX-2010/CHN,ssDNA(+/-)
Foot-and-mouth disease virus - type O,ssRNA(+)
Rabbit picornavirus,ssRNA(+)
Porcine hokovirus,ssDNA(+/-)
Equine rhinitis A virus,ssRNA(+)
Rat parvovirus 1,ssDNA(+/-)
Porcine coronavirus HKU15,ssRNA(+)
Primate protoparvovirus 1,ssDNA(+/-)
Betacoronavirus Erinaceus/VMC/DEU/2012,ssRNA(+)
Chipmunk parvovirus,ssDNA(+/-)
Jurona vesiculovirus,ssRNA(-)
Pig-tailed macaque parvovirus,ssDNA(+/-)
Polygonum ringspot tospovirus,ssRNA(+/-)
Simian parvovirus,ssDNA(+/-)
Rhesus macaque parvovirus,ssDNA(+/-)
Flanders hapavirus,ssRNA(-)
California sea lion adeno-associated virus 1,ssDNA(+/-)
Curionopolis virus,ssRNA(-)
Balsa almendravirus,ssRNA(-)
Porcine bocavirus H18,ssDNA(+/-)
California sea lion bocavirus 3,ssDNA(+/-)
Bocavirus pig/SX/China/2010,ssDNA(+/-)
California sea lion bocavirus 1,ssDNA(+/-)
Turkey parvovirus 260,ssDNA(+/-)
Teviot virus,ssRNA(-)
Gray fox amdovirus,ssDNA(+/-)
Sea star-associated densovirus,ssDNA(+/-)
Menangle virus,ssRNA(-)
Vulpes vulpes papillomavirus 1,dsDNA
Feline morbillivirus,ssRNA(-)
Avian avulavirus 8,ssRNA(-)
Avian avulavirus 6,ssRNA(-)
Punta Toro virus,ssRNA(+/-)
Parrot bornavirus 5,ssRNA(-)
Parrot bornavirus 1,ssRNA(-)
Wyeomyia orthobunyavirus,ssRNA(-)
Eothenomys miletus hantavirus LX309,ssRNA(-)
Tete orthobunyavirus,ssRNA(-)
Rhinolophus ferrumequinum papillomavirus 1,dsDNA
Trichechus manatus papillomavirus 3,dsDNA
Human papillomavirus 175,dsDNA
Human papillomavirus 204,dsDNA
Human papillomavirus 172,dsDNA
Human papillomavirus type 161,dsDNA
Eidolon helvum papillomavirus 1,dsDNA
Feline papillomavirus type 2,dsDNA
Miniopterus schreibersii papillomavirus 1,dsDNA
Eptesicus serotinus papillomavirus 1,dsDNA
Ovis aries papillomavirus 3,dsDNA
Eptesicus serotinus papillomavirus 2,dsDNA
Human papillomavirus type 71,dsDNA
Trichoplusia ni TED virus,ssRNA-RT
Laibin virus,ssRNA(-)
Tunisvirus fontaine2,dsDNA
Sweet potato leaf speckling virus,ssRNA(+)
Groundnut rosette assistor virus,ssRNA(+)
Laguna Negra orthohantavirus,ssRNA(-)
Santee-Cooper ranavirus,dsDNA
Hepatitis E virus rat/R63/DEU/2009,ssRNA(+)
Pomona bat hepatitis B virus,dsDNA-RT
Pacific flying fox faeces associated gemycircularvirus-7,ssDNA
Pacific flying fox faeces associated gemycircularvirus-6,ssDNA
Rhinolophus associated gemykibivirus 2,ssDNA
Rhinolophus associated gemykibivirus 1,ssDNA
Pacific flying fox faeces associated gemycircularvirus-12,ssDNA
Human gemycircularvirus GeTz1,ssDNA
Gemycircularvirus C1c,ssDNA
Sewage-associated gemycircularvirus-7b,ssDNA
Pacific flying fox faeces associated gemycircularvirus-1,ssDNA
Pteropus associated gemycircularvirus 10,ssDNA
Pteropus associated gemycircularvirus 9,ssDNA
Pteropus associated gemycircularvirus 8,ssDNA
Pteropus associated gemycircularvirus 7,ssDNA
Pteropus associated gemycircularvirus 5,ssDNA
Pteropus associated gemycircularvirus 6,ssDNA
Pteropus associated gemycircularvirus 4,ssDNA
Pacific flying fox faeces associated gemycircularvirus-2,ssDNA
Pteropus associated gemycircularvirus 3,ssDNA
Pacific flying fox faeces associated gemycircularvirus-10,ssDNA
Odonata associated gemycircularvirus-2,ssDNA
Odonata associated gemycircularvirus-1,ssDNA
Mosquito VEM virus SDBVL G,ssDNA
Miniopterus associated gemycircularvirus 1,ssDNA
Hypericum japonicum associated circular DNA virus,ssDNA
Chickpea yellows virus,ssDNA(+/-)
Plantago lanceolata latent virus,ssDNA(+/-)
West African Asystasia virus 2,ssDNA(+/-)
Tomato leaf distortion virus,ssDNA(+/-)
Vigna yellow mosaic virus,ssDNA(+/-)
Tomato leaf curl Uganda virus - [Iganga],ssDNA(+/-)
Tomato leaf curl New Delhi virus 4,ssDNA(+/-)
Tomato leaf curl Rajasthan virus - [India:Rajasthan:2005],ssDNA(+/-)
Tomato leaf curl New Delhi virus 2,ssDNA(+/-)
Tomato interveinal chlorosis virus,ssDNA(+/-)
Tomato bright yellow mottle virus,ssDNA(+/-)
Tomato bright yellow mosaic virus,ssDNA(+/-)
Sweet potato mosaic virus - [Brazil:Brasilia1:2007],ssDNA(+/-)
Sweet potato leaf curl Sichuan virus 1,ssDNA(+/-)
Sweet potato leaf curl China virus,ssDNA(+/-)
Soybean blistering mosaic virus,ssDNA(+/-)
Sidastrum golden leaf spot virus,ssDNA(+/-)
Sida yellow leaf curl virus,ssDNA(+/-)
Sida golden yellow vein virus-[A11],ssDNA(+/-)
Sida golden mosaic Lara virus,ssDNA(+/-)
Sida golden mosaic Braco virus-[Jamaica:Liguanea:2008],ssDNA(+/-)
Sida common mosaic virus,ssDNA(+/-)
Sauropus leaf curl virus,ssDNA(+/-)
Premna leaf curl virus,ssDNA(+/-)
Pouzolzia mosaic Guangdong virus,ssDNA(+/-)
Ludwigia yellow vein Vietnam virus,ssDNA(+/-)
Leonurus mosaic virus,ssDNA(+/-)
Malvastrum yellow mosaic Helshire virus,ssDNA(+/-)
Jatropha mosaic India virus-[Lucknow],ssDNA(+/-)
Hedyotis uncinella yellow mosaic virus,ssDNA(+/-)
Hantavirus Fusong-Mf-682,ssRNA(-)
Cowpea golden mosaic virus-[Nigeria],ssDNA(+/-)
Cotton leaf curl Gezira virus-[Cotton],ssDNA(+/-)
Chino del tomate Amazonas virus,ssDNA(+/-)
Chilli leaf curl Vellanad virus [India/Vellanad/2008],ssDNA(+/-)
Chilli leaf curl Kanpur virus [India/Kanpur/2008],ssDNA(+/-)
Boerhavia yellow spot virus,ssDNA(+/-)
Chenopodium leaf curl virus,ssDNA(+/-)
Abutilon golden mosaic Yucatan virus,ssDNA(+/-)
Pegivirus I,ssRNA(+)
Human hepegivirus,ssRNA(+)
Pegivirus G,ssRNA(+)
Pegivirus F,ssRNA(+)
Theiler's disease-associated virus,ssRNA(+)
Hepacivirus N,ssRNA(+)
Hepacivirus M,ssRNA(+)
Hepacivirus K,ssRNA(+)
Hepacivirus I,ssRNA(+)
Hepacivirus J,ssRNA(+)
Hepacivirus F,ssRNA(+)
Hepatitis C virus (isolate H77),ssRNA(+)
Hepacivirus B,ssRNA(+)
Non-primate hepacivirus NZP1,ssRNA(+)
El Moro Canyon orthohantavirus,ssRNA(-)
Phaseolus vulgaris alphaendornavirus 2,dsRNA
Cordyline virus 1,ssRNA(+)
Mint vein banding-associated virus,ssRNA(+)
Carnation necrotic fleck virus,ssRNA(+)
Cyclovirus SL-108277,ssDNA(+/-)
Cyclovirus NG14,ssDNA(+/-)
Cyclovirus NG12,ssDNA(+/-)
Cyclovirus PK5034,ssDNA(+/-)
Cyclovirus TN25,ssDNA(+/-)
Cyclovirus PK5222,ssDNA(+/-)
Cyclovirus PK5510,ssDNA(+/-)
Cyclovirus Equ1,ssDNA(+/-)
Dragonfly associated cyclovirus 8,ssDNA(+/-)
Dragonfly associated cyclovirus 7,ssDNA(+/-)
Dragonfly associated cyclovirus 6,ssDNA(+/-)
Cyclovirus Chimp11,ssDNA(+/-)
Cyclovirus NGchicken8/NGA/2009,ssDNA(+/-)
Cyclovirus PKbeef23/PAK/2009,ssDNA(+/-)
Pacific flying fox associated cyclovirus-3,ssDNA(+/-)
Pacific flying fox associated cyclovirus-1,ssDNA(+/-)
Pacific flying fox associated cyclovirus-2,ssDNA(+/-)
Bat associated cyclovirus 13,ssDNA(+/-)
Bat associated cyclovirus 11,ssDNA(+/-)
Bat associated cyclovirus 9,ssDNA(+/-)
Bat associated cyclovirus 8,ssDNA(+/-)
Bat associated cyclovirus 7,ssDNA(+/-)
Bat associated cyclovirus 6,ssDNA(+/-)
Bat associated cyclovirus 4,ssDNA(+/-)
Bat associated cyclovirus 3,ssDNA(+/-)
Bat associated cyclovirus 2,ssDNA(+/-)
Human stool-associated circular virus NG13,ssDNA(+/-)
Chimpanzee stool avian-like circovirus Chimp17,ssDNA(+/-)
Bat associated circovirus 8,ssDNA(+/-)
Bat associated circovirus 6,ssDNA(+/-)
Bat associated circovirus 7,ssDNA(+/-)
Bat associated circovirus 5,ssDNA(+/-)
Rhinolophus ferrumequinum circovirus 1,ssDNA(+/-)
Bat associated circovirus 1,ssDNA(+/-)
Feline foamy virus,ssRNA-RT
Sida leaf curl alphasatellite,ssDNA
Malvastrum yellow mosaic alphasatellite,ssDNA
Rhesus macaque simian foamy virus,ssRNA-RT
Bovine viral diarrhea virus 2,ssRNA(+)
Solenopsis invicta virus 2,ssRNA(+)
Tomato yellow leaf curl Yunnan alphasatellite,ssDNA
Chilli leaf curl alphasatellite,ssDNA
Vernonia yellow vein Fujian alphasatellite,ssDNA
Gossypium darwinii symptomless alphasatellite,ssDNA
Avian avulavirus 2,ssRNA(-)
Dabieshan virus,ssRNA(-)
Sugarcane bacilliform Guadeloupe A virus,dsDNA-RT
Dioscorea bacilliform AL virus,dsDNA-RT
Canna yellow mottle virus,dsDNA-RT
Cacao swollen shoot Togo A virus,dsDNA-RT
Cacao swollen shoot CD virus,dsDNA-RT
Bombyx mori densovirus Zhenjiang,ssDNA
Trichoplusia ni granulovirus LBIV-12,dsDNA
Choclo virus,ssRNA(-)
Harrisina brillians granulovirus,dsDNA
Clostera anastomosis granulovirus B,dsDNA
Wiseana signata nucleopolyhedrovirus,dsDNA
Spodoptera littoralis nucleopolyhedrovirus,dsDNA
Bat astrovirus Hp/Guangxi/LC03/2007,ssRNA(+)
Arenaviridae sp. 13ZR68,ssRNA(+/-)
Loei River mammarenavirus,ssRNA(+/-)
Torque teno sus virus k2b,ssDNA(-)
Torque teno midi virus 15,ssDNA(-)
Torque teno midi virus 14,ssDNA(-)
Torque teno midi virus 13,ssDNA(-)
Torque teno midi virus 12,ssDNA(-)
Torque teno midi virus 11,ssDNA(-)
Torque teno midi virus 10,ssDNA(-)
Torque teno midi virus 9,ssDNA(-)
Torque teno midi virus 8,ssDNA(-)
Torque teno midi virus 7,ssDNA(-)
Torque teno midi virus 6,ssDNA(-)
Torque teno midi virus 5,ssDNA(-)
Torque teno midi virus 4,ssDNA(-)
Torque teno midi virus 3,ssDNA(-)
Torque teno felis virus 2,ssDNA(-)
Torque teno tupaia virus,ssDNA(-)
Torque teno mini virus 12,ssDNA(-)
Torque teno mini virus 11,ssDNA(-)
Torque teno mini virus 10,ssDNA(-)
Torque teno virus 29,ssDNA(-)
Torque teno virus 24,ssDNA(-)
Torque teno virus 23,ssDNA(-)
Torque teno virus 21,ssDNA(-)
Torque teno virus 20,ssDNA(-)
Torque teno virus 13,ssDNA(-)
Torque teno virus 11,ssDNA(-)
Torque teno virus 9,ssDNA(-)
Torque teno virus 5,ssDNA(-)
Nudaurelia capensis omega virus,ssRNA(+)
Porcine adenovirus 4,dsDNA
Bottlenose dolphin adenovirus 1,dsDNA
Fowl aviadenovirus 6,dsDNA
Bombyx mori latent virus,ssRNA(+)
Desmodium yellow mottle virus,ssRNA(+)
Clitoria yellow vein virus,ssRNA(+)
Blackberry virus S,ssRNA(+)
Bermuda grass etched-line virus,ssRNA(+)
Grapevine virus D,ssRNA(+)
Caucasus prunus virus,ssRNA(+)
Melon yellowing-associated virus,ssRNA(+)
Helenium virus S,ssRNA(+)
Cole latent virus,ssRNA(+)
Chaetoceros tenuissimus RNA virus 01,ssRNA(+)
Carrot necrotic dieback virus,ssRNA(+)
Rosavirus M-7,ssRNA(+)
Human parechovirus 1,ssRNA(+)
Mouse Mosavirus,ssRNA(+)
Kunsagivirus A,ssRNA(+)
Bat hepatovirus BUO2BF86Colafr2010,ssRNA(+)
Rodent hepatovirus KEF121Sigmas2012,ssRNA(+)
Rodent hepatovirus CIV459Lopsik2004,ssRNA(+)
Bat hepatovirus SMG18520Minmav2014,ssRNA(+)
Human rhinovirus NAT001,ssRNA(+)
Human rhinovirus B3,ssRNA(+)
Human rhinovirus A1,ssRNA(+)
Dromedary camel enterovirus 19CC,ssRNA(+)
Simian enterovirus SV4,ssRNA(+)
Enterovirus D68,ssRNA(+)
Coxsackievirus B3,ssRNA(+)
Coxsackievirus A2,ssRNA(+)
Boone cardiovirus 1,ssRNA(+)
Turkey avisivirus,ssRNA(+)
Bovine rhinitis A virus,ssRNA(+)
Nilaparvata lugens honeydew virus 1,ssRNA(+)
Lygus lineolaris virus 1,ssRNA(+)
Bayou orthohantavirus,ssRNA(-)
Dak Nong virus,ssRNA(+)
Karang Sari virus,ssRNA(+)
Fathead minnow nidovirus,ssRNA(+)
Bulbul coronavirus HKU11-934,ssRNA(+)
Betacoronavirus England 1,ssRNA(+)
Simian hemorrhagic encephalitis virus,ssRNA(+)
Kibale red-tailed guenon virus 1,ssRNA(+)
Porcine reproductive and respiratory syndrome virus 2,ssRNA(+)
Watermelon bud necrosis virus,ssRNA(+/-)
Radi vesiculovirus,ssRNA(-)
Piry virus,ssRNA(-)
Carajas virus,ssRNA(-)
Durham virus,ssRNA(-)
Ekpoma virus 2,ssRNA(-)
Ekpoma virus 1,ssRNA(-)
Drosophila melanogaster sigmavirus HAP23,ssRNA(-)
Drosophila immigrans sigmavirus,ssRNA(-)
Drosophila ananassae sigmavirus,ssRNA(-)
Drosophila affinis sigmavirus,ssRNA(-)
Lake trout rhabdovirus 903/87,ssRNA(-)
Nishimuro ledantevirus,ssRNA(-)
Mossuril virus,ssRNA(-)
Asama virus,ssRNA(-)
Bovine respiratory syncytial virus ATCC51908,ssRNA(-)
Bat Paramyxovirus Epo_spe/AR1/DRC/2009,ssRNA(-)
Simian Agent 10,ssRNA(-)
Pteromalus puparum negative-strand RNA virus 1,ssRNA(-)
Estrildid finch bornavirus 1,ssRNA(-)
Ateline gammaherpesvirus 2,dsDNA
Mustelid gammaherpesvirus 1,dsDNA
Porcine lymphotropic herpesvirus 2,dsDNA
Porcine lymphotropic herpesvirus 1,dsDNA
Phasi Charoen-like phasivirus,ssRNA(-)
Cebine betaherpesvirus 1,dsDNA
Badu phasivirus,ssRNA(-)
Vesicular stomatitis Indiana virus,ssRNA(-)
Streptomyces phage phiSAJS1,dsDNA
Human orthopneumovirus,ssRNA(-)
Olive latent virus 2,ssRNA(+)
Tomato rugose yellow leaf curl virus,ssDNA(+/-)
Iris yellow spot virus,ssRNA(+/-)
Atkinsonella hypoxylon virus,dsRNA
Telfairia golden mosaic virus,ssDNA(+/-)
Penicillium stoloniferum virus F,dsRNA
Discula destructiva virus 1,dsRNA
Sulfolobus polyhedral virus 1,dsDNA
Sea otter poxvirus,dsDNA
Sichuan takin astrovirus,ssRNA(+)
Sichuan takin enterovirus,ssRNA(+)
Botrytis cinerea hypovirus 1 satellite-like RNA-S,RNA
Botrytis cinerea fusarivirus 1-S2,ssRNA
Botrytis cinerea fusarivirus 1-S1,ssRNA
Botrytis cinerea hypovirus 1 satellite-like RNA,RNA
Botrytis cinerea fusarivirus 1,ssRNA
Botrytis cinerea hypovirus 1,ssRNA(+)
Pandoravirus macleodensis,dsDNA
Pandoravirus neocaledonia,dsDNA
Pandoravirus quercus,dsDNA
Bat Middle East Hepe-Astrovirus,ssRNA(+)
Human gammaherpesvirus 4,dsDNA
Helicobacter phage phiHP33,dsDNA
Chrysanthemum chlorotic mottle viroid,ssRNA
Pavonia yellow mosaic virus,ssDNA(+/-)
Zerdali virus,ssRNA(+/-)
Toros virus,ssRNA(+/-)
Arrabida virus,ssRNA(+/-)
Helicobasidium mompa totivirus 1-17,dsRNA
Saffron latent virus,ssRNA(+)
Ictalurid herpesvirus 2,dsDNA
Pepper vein yellows virus 5,ssRNA(+)
Callinectes sapidus reovirus 1,dsRNA
Maize rough dwarf virus,dsRNA
Gordonia phage Schnabeltier,dsDNA
Mycobacterium phage SweetiePie,dsDNA
Arthrobacter phage Mudcat,dsDNA
Mycobacterium phage Anubis,dsDNA
Mycobacterium phage Theia,dsDNA
Mycobacterium phage Ariel,dsDNA
Alfalfa dwarf virus,ssRNA(-)
Mycobacterium phage Dumbo,dsDNA
Brassica yellows virus,ssRNA(+)
Mycobacterium virus Crimd,dsDNA
Mycobacterium phage ScottMcG,dsDNA
Mycobacterium virus Bxz2,dsDNA
Mycobacterium virus Che9d,dsDNA
Angelonia flower break virus,ssRNA(+)
Mythimna unipuncta granulovirus B,dsDNA
Indian encephalitis associated cyclovirus,ssDNA(+/-)
Ovine adenovirus 7,dsDNA
California sea lion astrovirus 2,ssRNA(+)
Dera Ghazi Khan orthonairovirus,ssRNA(-)
Kibale red colobus virus 2,ssRNA(+)
Dhori thogotovirus,ssRNA(-)
Peach rosette mosaic virus,ssRNA(+)
Kibale red colobus virus 1,ssRNA(+)
rabbit kobuvirus,ssRNA(+)
Dugbe orthonairovirus,ssRNA(-)
Rhynchosia golden mosaic virus,ssDNA(+/-)
Pepper cryptic virus 1,dsRNA
Mulberry badnavirus 1,dsDNA-RT
Polygala garcinii associated virus,ssDNA(+/-)
Limeum africanum associated virus,ssDNA(+/-)
Juncus maritimus associated virus,ssDNA(+/-)
Exomis microphylla associated virus,ssDNA(+/-)
Leptonychotes weddellii papillomavirus 5,dsDNA
Leptonychotes weddellii papillomavirus 4,dsDNA
Leptonychotes weddellii papillomavirus 3,dsDNA
Leptonychotes weddellii papillomavirus 2,dsDNA
Leptonychotes weddellii papillomavirus 1,dsDNA
Varroa mite associated virus 1,unknown
Varroa mite associated genomovirus 1,ssDNA
Pepper enamovirus,ssRNA(+)
Bovine parvovirus 3,ssDNA(+/-)
Erysiphe necator mitovirus 3,ssRNA(+)
Erysiphe necator mitovirus 2,ssRNA(+)
Erysiphe necator mitovirus 1,ssRNA(+)
Dishui lake phycodnavirus 1,dsDNA
Grapevine virus I,ssRNA(+)
Hyacinth mosaic virus,ssRNA(+)
Cyclovirus PK5006,ssDNA(+/-)
Influenza D virus (D/swine/Oklahoma/1334/2011),ssRNA(-)
Natrinema virus SNJ1,dsDNA
Stenotrophomonas phage PSH1,ssDNA(+)
Husavirus sp.,ssRNA(+)
Orpheovirus IHUMI-LCC2,dsDNA
Passerivirus sp.,ssRNA(+)
Fusarium graminearum alternavirus 1,dsRNA
Rosellinia necatrix partitivirus 8,dsRNA
Calla lily chlorotic spot virus,ssRNA(+/-)
Rice hoja blanca tenuivirus,ssRNA(-)
Kabuto mountain virus,RNA
Allium cepa amalgavirus 1,dsRNA
Rosellinia necatrix hypovirus 1,ssRNA(+)
Dianke virus,ssRNA(+)
Aeropyrum globular virus 1,dsDNA
Porcine circovirus-like virus P1,ssDNA(+/-)
Pleurochrysis carterae circular virus,ssDNA(+/-)
Tomato apical leaf curl virus,ssDNA(+/-)
Maize-associated totivirus 3,dsRNA
Babaco mosaic virus,ssRNA(+)
Armigeres iflavirus,ssRNA(+)
Rodent astrovirus,ssRNA(+)
Flamingopox virus FGPVKD09,dsDNA
