Organism_Name,Genome.composition
Human CSF-associated densovirus,ssDNA(+/-)
Ornithogalum mosaic virus,ssRNA(+)
Canine bocavirus 3,ssDNA(+/-)
Lokiarchaeia virus SkuldV3,dsDNA
Trialeurodes vaporariorum mononega-like virus 2,ssRNA(-)
Supella longipalpa mononega-like virus 2,ssRNA(-)
Chalcocoris rutilans mononega-like virus 2,ssRNA(-)
Trichopria drosophilae mononega-like virus,ssRNA(-)
Belostoma flumineum mononega-like virus,ssRNA(-)
Periplaneta americana mononega-like virus,ssRNA(-)
Rhagovelia obesa mononega-like virus,ssRNA(-)
Nomada lathburiana mononega-like virus,ssRNA(-)
Oropsylla silantiewi mononega-like virus 2,ssRNA(-)
Armillaria mellea negative strand RNA virus 2,ssRNA(-)
Pinus flexilis virus 1,ssRNA(-)
Trachyspermum ammi virus 1,ssRNA(-)
Tagetes erecta virus 1,ssRNA(-)
Nymphaea alba virus 1,ssRNA(-)
Gymnadenia densiflora virus 1,ssRNA(-)
Glehnia littoralis virus 1,ssRNA(-)
Bemisia tabaci-associated virus 1,ssRNA(-)
Anthurium amnicola virus 1,ssRNA(-)
Rhododendron delavayi virus 1,ssRNA(-)
Plectranthus aromaticus virus 1,ssRNA(-)
Asclepias syriaca virus 2,ssRNA(-)
Asclepias syriaca virus 1,ssRNA(-)
Agave tequilana virus 1,ssRNA(-)
Acanthamoeba castellanii medusavirus,unknown
Macropodid alphaherpesvirus 4,dsDNA
Colobine gammaherpesvirus 1,dsDNA
Cacatuid alphaherpesvirus 2,dsDNA
Pteropus lylei-associated alphaherpesvirus,dsDNA
Equid herpesvirus 6,dsDNA
Macaca arctoides gammaherpesvirus 1,dsDNA
Tomato leaf curl Pakistan betasatellite,ssDNA
Cotton leaf curl betasatellite,ssDNA
Cotton leaf curl betasatellite,ssDNA
Kenaf leaf curl betasatellite,ssDNA
Grapevine Tunisian ringspot virus,ssRNA(+)
Belerina virus,ssRNA(-)
Rubella virus,ssRNA(+)
Equine infectious anemia virus,ssRNA-RT
Carcinus maenas nudivirus,dsDNA
Crangon crangon nudivirus,dsDNA
Anisopteromalus calandrae negative-strand RNA virus 2,ssRNA(-)
Anisopteromalus calandrae negative-strand RNA virus 1,ssRNA(-)
Torque teno equus virus 2,ssDNA(-)
Ruloma virus,ssRNA(-)
Bangali torovirus,ssRNA(+)
Mediterranean bat virus,ssRNA(-)
Matariya virus,ssRNA(-)
Burg el Arab virus,ssRNA(-)
Ouango virus,ssRNA(-)
Kolongo virus,ssRNA(-)
Bimbo virus,ssRNA(-)
Nasoule virus,ssRNA(-)
Sandjimba virus,ssRNA(-)
Boteke virus,ssRNA(-)
Bangoran virus,ssRNA(-)
Porton virus,ssRNA(-)
Agave virus T,ssRNA(+)
Hymenopteran rhabdo-related virus,ssRNA(-)
Hymenopteran rhabdo-related virus,ssRNA(-)
odonatan chu-related virus 137,ssRNA(-)
odonatan chu-related virus 136,ssRNA(-)
Poaceae Liege virus 1,ssRNA(+)
Hymenopteran anphe-related virus OKIAV71,ssRNA(-)
Hymenopteran arli-related virus OKIAV99,ssRNA(-)
Hemipteran arli-related virus OKIAV95,ssRNA(-)
Hymenopteran arli-related virus OKIAV98,ssRNA(-)
Bat hepevirus,ssRNA(+)
Soybean carlavirus 1,ssRNA(+)
Kander virus,ssRNA(-)
Jimsystermes virus,ssRNA(-)
Chrysanthemum yellow dwarf virus,ssRNA(-)
Joa yellow blotch virus,ssRNA(-)
Veiled chameleon serpentovirus A,ssRNA(+)
Veiled chameleon serpentovirus B,ssRNA(+)
Snake melon asteroid mosaic virus,ssRNA(+)
Rose virus R,ssRNA(-)
Macrobrachium rosenbergii Golda virus,ssRNA(+)
Picoa juniperi yado-kari virus 1,RNA
Solenopsis invicta virus 15,ssRNA(-)
Matsumuraeses phaseoli granulovirus,dsDNA
Pennisetum alopecuroides mosaic virus,ssRNA(+)
Botryosphaeria dothidea mitovirus 1,ssRNA(+)
Bat alphacoronavirus,ssRNA(+)
Achyranthes virus A,ssRNA(+)
Fusarium andiyazi mitovirus 1,ssRNA(+)
Fusarium verticillioides mitovirus 1,ssRNA(+)
