Species,Genome composition
Kuttervirus ViI,dsDNA
Campanilevirus YC,dsDNA
Kujavirus kuja,dsDNA
Miltonvirus 3M,dsDNA
Miltonvirus MAM1,dsDNA
Nezavisimistyvirus bue1,dsDNA
Nezavisimistyvirus Ea2809,dsDNA
Taipeivirus 0507KN21,dsDNA
Taipeivirus IME250,dsDNA
Taipeivirus KpS110,dsDNA
Taipeivirus KWBSE436,dsDNA
Taipeivirus magnus,dsDNA
Taipeivirus may,dsDNA
Taipeivirus menlow,dsDNA
Taipeivirus UPM2146,dsDNA
Tedavirus A829,dsDNA
Vapseptimavirus VAP7,dsDNA
Harrekavirus harreka,dsDNA
Brussowvirus 20617,dsDNA
Brussowvirus ALQ132,dsDNA
Brussowvirus bv2972,dsDNA
Brussowvirus bv858,dsDNA
Brussowvirus bvO1205,dsDNA
Brussowvirus CHPC1042,dsDNA
Brussowvirus CHPC1109,dsDNA
Brussowvirus CHPC1152,dsDNA
Brussowvirus CHPC1230,dsDNA
Brussowvirus CHPC1246,dsDNA
Brussowvirus CHPC1247,dsDNA
Brussowvirus CHPC1248,dsDNA
Brussowvirus CHPC640,dsDNA
Brussowvirus CHPC869,dsDNA
Brussowvirus CHPC931,dsDNA
Brussowvirus CHPC951,dsDNA
Brussowvirus CHPC952,dsDNA
Brussowvirus P4761,dsDNA
Brussowvirus P7571,dsDNA
Brussowvirus P7951,dsDNA
Brussowvirus P7952,dsDNA
Brussowvirus P7953,dsDNA
Brussowvirus P7954,dsDNA
Brussowvirus P7955,dsDNA
Brussowvirus P9853,dsDNA
Brussowvirus Sfi11,dsDNA
Brussowvirus SW1151,dsDNA
Brussowvirus SW13,dsDNA
Brussowvirus SW14,dsDNA
Brussowvirus SW15,dsDNA
Brussowvirus SW18,dsDNA
Brussowvirus TP778L,dsDNA
Brussowvirus TPJ34,dsDNA
Brussowvirus VS2018a,dsDNA
Moineauvirus Abc2,dsDNA
Moineauvirus B0,dsDNA
Moineauvirus CHPC1005,dsDNA
Moineauvirus CHPC1027,dsDNA
Moineauvirus CHPC1029,dsDNA
Moineauvirus CHPC1033,dsDNA
Moineauvirus CHPC1036,dsDNA
Moineauvirus CHPC1041,dsDNA
Moineauvirus CHPC1045,dsDNA
Moineauvirus CHPC1046,dsDNA
Moineauvirus CHPC1062,dsDNA
Moineauvirus CHPC1067,dsDNA
Moineauvirus CHPC1091,dsDNA
Moineauvirus CHPC1148,dsDNA
Moineauvirus CHPC1156,dsDNA
Moineauvirus CHPC572,dsDNA
Moineauvirus CHPC595,dsDNA
Moineauvirus CHPC642,dsDNA
Moineauvirus CHPC663,dsDNA
Moineauvirus CHPC873,dsDNA
Moineauvirus CHPC875,dsDNA
Moineauvirus CHPC877,dsDNA
Moineauvirus CHPC879,dsDNA
Moineauvirus CHPC919,dsDNA
Moineauvirus CHPC925,dsDNA
Moineauvirus CHPC927,dsDNA
Moineauvirus CHPC928,dsDNA
Moineauvirus CHPC930,dsDNA
Moineauvirus CHPC950,dsDNA
Moineauvirus CHPC979,dsDNA
Moineauvirus D1024,dsDNA
Moineauvirus D1811,dsDNA
Moineauvirus D4276,dsDNA
Moineauvirus DT1,dsDNA
Moineauvirus L5A1,dsDNA
Moineauvirus M19,dsDNA
Moineauvirus MM25,dsDNA
Moineauvirus mv128,dsDNA
Moineauvirus mv53,dsDNA
Moineauvirus mv7201,dsDNA
Moineauvirus mv73,dsDNA
Moineauvirus mv7A5,dsDNA
Moineauvirus P0091,dsDNA
Moineauvirus P3681,dsDNA
Moineauvirus P3684,dsDNA
Moineauvirus P5641,dsDNA
Moineauvirus P5651,dsDNA
Moineauvirus P7132,dsDNA
Moineauvirus P7133,dsDNA
Moineauvirus P7134,dsDNA
Moineauvirus P7151,dsDNA
Moineauvirus P7152,dsDNA
Moineauvirus P7154,dsDNA
Moineauvirus P7573,dsDNA
Moineauvirus P7574,dsDNA
Moineauvirus P7601,dsDNA
Moineauvirus P7602,dsDNA
Moineauvirus P7631,dsDNA
Moineauvirus P7632,dsDNA
Moineauvirus P7633,dsDNA
Moineauvirus P9851,dsDNA
Moineauvirus P9854,dsDNA
Moineauvirus P9901,dsDNA
Moineauvirus P9902,dsDNA
Moineauvirus P9903,dsDNA
Moineauvirus Sfi19,dsDNA
Moineauvirus Sfi21,dsDNA
Moineauvirus STP1,dsDNA
Moineauvirus SW1,dsDNA
Moineauvirus SW11,dsDNA
Moineauvirus SW12,dsDNA
Moineauvirus SW2,dsDNA
Moineauvirus SW3,dsDNA
Moineauvirus SW5,dsDNA
Moineauvirus SW6,dsDNA
Moineauvirus SW7,dsDNA
Moineauvirus SW8,dsDNA
Moineauvirus SWK3,dsDNA
Moineauvirus SWK6,dsDNA
Moineauvirus VA214,dsDNA
Moineauvirus VA460,dsDNA
Vansinderenvirus 5093,dsDNA
Vansinderenvirus CHPC1198,dsDNA
Vansinderenvirus CHPC1232,dsDNA
Vansinderenvirus CHPC1282,dsDNA
Vansinderenvirus P0092,dsDNA
Vansinderenvirus P0093,dsDNA
Vansinderenvirus P0095,dsDNA
Vansinderenvirus SW19,dsDNA
Vansinderenvirus SW24,dsDNA
Vansinderenvirus SW27,dsDNA
Vansinderenvirus SW4,dsDNA
Wroclawvirus PA5oct,dsDNA
Cebadecemvirus phi10una,dsDNA
Cellubavirus phi19una,dsDNA
Nekkelsvirus Nekkels,dsDNA
Daemvirus acibel007,dsDNA
Friunavirus AB1,dsDNA
Friunavirus AB3,dsDNA
Friunavirus AB6,dsDNA
Friunavirus AbKT21III,dsDNA
Friunavirus Abp1,dsDNA
Friunavirus Aci07,dsDNA
Friunavirus Aci08,dsDNA
Friunavirus AS11,dsDNA
Friunavirus AS12,dsDNA
Friunavirus B1,dsDNA
Friunavirus B3,dsDNA
Friunavirus B5,dsDNA
Friunavirus D2,dsDNA
Friunavirus Fri1,dsDNA
Friunavirus fv15519,dsDNA
Friunavirus IME200,dsDNA
Friunavirus P1,dsDNA
Friunavirus P2,dsDNA
Friunavirus PD6A3,dsDNA
Friunavirus PDAB9,dsDNA
Friunavirus SWHAb1,dsDNA
Friunavirus SWHAb3,dsDNA
Friunavirus WCHABP5,dsDNA
Pettyvirus petty,dsDNA
Gutovirus Vc1,dsDNA
Kaohsiungvirus A318,dsDNA
Kaohsiungvirus AS51,dsDNA
Kaohsiungvirus Vp670,dsDNA
Murciavirus CB5A,dsDNA
Murciavirus CPP1m,dsDNA
Trungvirus VEN,dsDNA
Uliginvirus achelous,dsDNA
Uliginvirus alpheus,dsDNA
Uliginvirus nerthus,dsDNA
Uliginvirus njord,dsDNA
Uliginvirus uligo,dsDNA
Kantovirus C171,dsDNA
Kotilavirus PP16,dsDNA
Kotilavirus PPWS1,dsDNA
Kotilavirus PPWS2,dsDNA
Phimunavirus CB5,dsDNA
Phimunavirus Clickz,dsDNA
Phimunavirus fM1,dsDNA
Phimunavirus gaspode,dsDNA
Phimunavirus khlen,dsDNA
Phimunavirus koot,dsDNA
Phimunavirus lelidair,dsDNA
Phimunavirus nobby,dsDNA
Phimunavirus peat1,dsDNA
Phimunavirus phoria,dsDNA
Phimunavirus PP90,dsDNA
Phimunavirus zenivior,dsDNA
Stompvirus BF2512,dsDNA
Kirikabuvirus NV3,dsDNA
Phikmvvirus 15pyo,dsDNA
Phikmvvirus Ab05,dsDNA
Phikmvvirus ABTNL,dsDNA
Phikmvvirus DL62,dsDNA
Phikmvvirus kF77,dsDNA
Phikmvvirus LKD16,dsDNA
Phikmvvirus LUZ19,dsDNA
Phikmvvirus MPK6,dsDNA
Phikmvvirus MPK7,dsDNA
Phikmvvirus NFS,dsDNA
Phikmvvirus PAXYB1,dsDNA
Phikmvvirus phiKMV,dsDNA
Phikmvvirus PT2,dsDNA
Phikmvvirus PT5,dsDNA
Phikmvvirus pv130113,dsDNA
Phikmvvirus RLP,dsDNA
Stubburvirus LKA1,dsDNA
Tunggulvirus f2,dsDNA
Aerosvirus AS7,dsDNA
Aerosvirus av25AhydR2PP,dsDNA
Aerosvirus ZPAH7,dsDNA
Aghbyvirus ISAO8,dsDNA
Ahphunavirus Ahp1,dsDNA
Ahphunavirus CF7,dsDNA
Cronosvirus DevCD23823,dsDNA
Cronosvirus GAP227,dsDNA
Panjvirus Spp16,dsDNA
Pienvirus R801,dsDNA
Pokrovskaiavirus fHeYen301,dsDNA
Pokrovskaiavirus pv8018,dsDNA
Wanjuvirus arno160,dsDNA
Wanjuvirus PP2,dsDNA
Acadevirus PM116,dsDNA
Acadevirus Pm5460,dsDNA
Acadevirus PM85,dsDNA
Acadevirus PM93,dsDNA
Axomammavirus PP1,dsDNA
Eracentumvirus era103,dsDNA
Eracentumvirus S2,dsDNA
Tuodvirus phD2B,dsDNA
Vectrevirus AAPEc6,dsDNA
Vectrevirus ACGC91,dsDNA
Vectrevirus bee,dsDNA
Vectrevirus cee,dsDNA
Vectrevirus CrRp3,dsDNA
Vectrevirus K15,dsDNA
Vectrevirus K1E,dsDNA
Vectrevirus kay,dsDNA
Vectrevirus LL11,dsDNA
Vectrevirus mutPK1A2,dsDNA
Vectrevirus VEc3,dsDNA
Zindervirus BP12B,dsDNA
Zindervirus SP6,dsDNA
Zindervirus UAB78,dsDNA
Ampunavirus BpAMP1,dsDNA
Ampunavirus RSPI1,dsDNA
Higashivirus RSB1,dsDNA
Higashivirus RsoP1IDN,dsDNA
Mguuvirus JG068,dsDNA
Risjevirus RSJ2,dsDNA
Risjevirus RSJ5,dsDNA
Sukuvirus RSPII1,dsDNA
Bucovirus buco,dsDNA
Drulisvirus altogao,dsDNA
Drulisvirus BO1E,dsDNA
Drulisvirus F19,dsDNA
Drulisvirus K244,dsDNA
Drulisvirus Kp2,dsDNA
Drulisvirus KP34,dsDNA
Drulisvirus KPRio2015,dsDNA
Drulisvirus KpS2,dsDNA
Drulisvirus KpV41,dsDNA
Drulisvirus KpV475,dsDNA
Drulisvirus KpV48,dsDNA
Drulisvirus KpV71,dsDNA
Drulisvirus KpV74,dsDNA
Drulisvirus KPV811,dsDNA
Drulisvirus minorna,dsDNA
Drulisvirus myPSH1235,dsDNA
Drulisvirus SFN6B,dsDNA
Drulisvirus SU503,dsDNA
Drulisvirus SU552A,dsDNA
Koutsourovirus KDA1,dsDNA
Novosibovirus PM16,dsDNA
Novosibovirus PM75,dsDNA
Aarhusvirus dagda,dsDNA
Aarhusvirus katbat,dsDNA
Aarhusvirus luksen,dsDNA
Aarhusvirus mysterion,dsDNA
Apdecimavirus AP10,dsDNA
Berlinvirus 285P,dsDNA
Berlinvirus A7,dsDNA
Berlinvirus BA14,dsDNA
Berlinvirus berlin,dsDNA
Berlinvirus BP12A,dsDNA
Berlinvirus BSP161,dsDNA
Berlinvirus FE44,dsDNA
Berlinvirus Kvp1,dsDNA
Berlinvirus P483,dsDNA
Berlinvirus P694,dsDNA
Berlinvirus PP74,dsDNA
Berlinvirus PYPS50,dsDNA
Berlinvirus RN5i1,dsDNA
Berlinvirus S523,dsDNA
Berlinvirus Yepe2,dsDNA
Berlinvirus Yepf,dsDNA
Caroctavirus CR8,dsDNA
Chatterjeevirus ICP3,dsDNA
Chatterjeevirus N4,dsDNA
Chatterjeevirus VP4,dsDNA
Eapunavirus Eap1,dsDNA
Elunavirus L1,dsDNA
Foetvirus SRT7,dsDNA
Ghunavirus 17A,dsDNA
Ghunavirus gh1,dsDNA
Ghunavirus henninger,dsDNA
Ghunavirus KNP,dsDNA
Ghunavirus Pf1ERZ2017,dsDNA
Ghunavirus PPPL1,dsDNA
Ghunavirus Psa17,dsDNA
Ghunavirus PSA2,dsDNA
Ghunavirus shl2,dsDNA
Ghunavirus WRT,dsDNA
Helsettvirus fPS53,dsDNA
Helsettvirus fPS54ocr,dsDNA
Helsettvirus fPS59,dsDNA
Helsettvirus fPS9,dsDNA
Jarilovirus jarilo,dsDNA
Kayfunavirus CR44b,dsDNA
Kayfunavirus Dev2,dsDNA
Kayfunavirus EcoDS1,dsDNA
Kayfunavirus EcpYZU01,dsDNA
Kayfunavirus F,dsDNA
Kayfunavirus GA2A,dsDNA
Kayfunavirus GW1,dsDNA
Kayfunavirus IMM002,dsDNA
Kayfunavirus K1F,dsDNA
Kayfunavirus LM33P1,dsDNA
Kayfunavirus PE31,dsDNA
Kayfunavirus Ro45lw,dsDNA
Kayfunavirus SFPH2,dsDNA
Kayfunavirus SH3,dsDNA
Kayfunavirus SH4,dsDNA
Kayfunavirus ST31,dsDNA
Kayfunavirus Vec13,dsDNA
Kayfunavirus YZ1,dsDNA
Kayfunavirus ZG49,dsDNA
Minipunavirus MmP1,dsDNA
Minipunavirus MP2,dsDNA
Ningirsuvirus JA10,dsDNA
Ningirsuvirus ninurta,dsDNA
Pektosvirus PP47,dsDNA
Pektosvirus PP81,dsDNA
Pektosvirus PPWS4,dsDNA
Phutvirus PPpW4,dsDNA
Pifdecavirus IBBPF7A,dsDNA
Pifdecavirus Pf10,dsDNA
Pifdecavirus PFP1,dsDNA
Pifdecavirus PhiS1,dsDNA
Pifdecavirus pv22PfluR64PP,dsDNA
Pifdecavirus UNOSLW1,dsDNA
Pijolavirus PspYZU08,dsDNA
Przondovirus 2044307w,dsDNA
Przondovirus BIS33,dsDNA
Przondovirus henu1,dsDNA
Przondovirus IL33,dsDNA
Przondovirus IME205,dsDNA
Przondovirus IME321,dsDNA
Przondovirus K11,dsDNA
Przondovirus K30,dsDNA
Przondovirus K5,dsDNA
Przondovirus K52,dsDNA
Przondovirus K54,dsDNA
Przondovirus KN11,dsDNA
Przondovirus KN31,dsDNA
Przondovirus KN41,dsDNA
Przondovirus Kp1,dsDNA
Przondovirus KP32,dsDNA
Przondovirus KP32i192,dsDNA
Przondovirus KP32i194,dsDNA
Przondovirus KP32i195,dsDNA
Przondovirus KP32i196,dsDNA
Przondovirus kpssk3,dsDNA
Przondovirus KpV289,dsDNA
Przondovirus KpV763,dsDNA
Przondovirus KpV766,dsDNA
Przondovirus KpV767,dsDNA
Przondovirus pharr,dsDNA
Przondovirus PRA33,dsDNA
Przondovirus SHKp152234,dsDNA
Przondovirus SHKp152410,dsDNA
Teetrevirus 2050H2,dsDNA
Teetrevirus AP5,dsDNA
Teetrevirus CFP1,dsDNA
Teetrevirus E2,dsDNA
Teetrevirus E3,dsDNA
Teetrevirus ECA2,dsDNA
Teetrevirus KPN3,dsDNA
Teetrevirus LL2,dsDNA
Teetrevirus RPN15,dsDNA
Teetrevirus SGJL2,dsDNA
Teetrevirus SH1,dsDNA
Teetrevirus SH2,dsDNA
Teetrevirus SM93Y,dsDNA
Teetrevirus T3,dsDNA
Teetrevirus T3Luria,dsDNA
Teetrevirus T7M,dsDNA
Teetrevirus tv10164302,dsDNA
Teetrevirus YeF10,dsDNA
Teetrevirus YeO312,dsDNA
Teseptimavirus 13a,dsDNA
Teseptimavirus C5,dsDNA
Teseptimavirus CICC80001,dsDNA
Teseptimavirus ebrios,dsDNA
Teseptimavirus EG1,dsDNA
Teseptimavirus HZ2R8,dsDNA
Teseptimavirus HZP2,dsDNA
Teseptimavirus IME15,dsDNA
Teseptimavirus IME390,dsDNA
Teseptimavirus N30,dsDNA
Teseptimavirus NCA,dsDNA
Teseptimavirus T7,dsDNA
Teseptimavirus tv3A8767,dsDNA
Teseptimavirus tv64795ec1,dsDNA
Teseptimavirus Vi06,dsDNA
Teseptimavirus YpPY,dsDNA
Teseptimavirus YpsPG,dsDNA
Troedvirus Phi15,dsDNA
