Species,Genome composition
Salmonella phage Maynard,dsDNA
Salmonella phage moki,dsDNA
Salmonella phage Mutine,dsDNA
Salmonella phage pertopsoe,dsDNA
Escherichia phage PhaxI,dsDNA
Salmonella phage vB-SalM-PM10,dsDNA
Salmonella phage rabagast,dsDNA
Salmonella phage S118,dsDNA
Salmonella phage SE14,dsDNA
Salmonella phage Se-B,dsDNA
Salmonella phage Se-G,dsDNA
Salmonella phage Se-J,dsDNA
Salmonella phage SenALZ1,dsDNA
Salmonella phage SenASZ3,dsDNA
Salmonella phage SeSz-1,dsDNA
Salmonella phage SFP10,dsDNA
Salmonella phage PhiSH19,dsDNA
Salmonella phage vB-SalM-SJ2,dsDNA
Salmonella phage vB-SalM-SJ3,dsDNA
Salmonella phage SP1,dsDNA
Salmonella phage SS9,dsDNA
Salmonella phage STML-13-1,dsDNA
Salmonella phage ST-W77,dsDNA
Salmonella phage Vi01,dsDNA
Vibrio phage YC,dsDNA
Vibrio phage vB_VchM_Kuja,dsDNA
Serratia phage vB_SmaA_3M,dsDNA
Serratia phage phiMAM1,dsDNA
Erwinia phage vB_EamM-Bue1,dsDNA
Erwinia phage phiEa2809,dsDNA
Klebsiella phage 0507-KN2-1,dsDNA
Serratia phage vB_Sru_IME250,dsDNA
Klebsiella phage vB_KpnM_KpS110,dsDNA
Escherichia phage vB_EcoM_KWBSE43-6,dsDNA
Klebsiella phage Magnus,dsDNA
Klebsiella phage May,dsDNA
Klebsiella phage Menlow,dsDNA
Klebsiella phage UPM 2146,dsDNA
Aeromonas phage phiA8-29,dsDNA
Vibrio phage VAP7,dsDNA
Olleya phage Harreka_1,dsDNA
Streptococcus phage 20617,dsDNA
Streptococcus phage ALQ13.2,dsDNA
Streptococcus phage 2972,dsDNA
Streptococcus phage 858,dsDNA
Streptococcus phage 01205,dsDNA
Streptococcus phage CHPC1042,dsDNA
Streptococcus phage CHPC1109,dsDNA
Streptococcus phage CHPC1152,dsDNA
Streptococcus phage CHPC1230,dsDNA
Streptococcus phage CHPC1246,dsDNA
Streptococcus phage CHPC1247,dsDNA
Streptococcus phage CHPC1248,dsDNA
Streptococcus phage CHPC640,dsDNA
Streptococcus phage CHPC869,dsDNA
Streptococcus phage CHPC931,dsDNA
Streptococcus phage CHPC951,dsDNA
Streptococcus phage CHPC952,dsDNA
Streptococcus phage P4761,dsDNA
Streptococcus phage P7571,dsDNA
Streptococcus phage P7951,dsDNA
Streptococcus phage P7952,dsDNA
Streptococcus phage P7953,dsDNA
Streptococcus phage P7954,dsDNA
Streptococcus phage P7955,dsDNA
Streptococcus phage P9853,dsDNA
Streptococcus phage Sfi11,dsDNA
Streptococcus phage SW1151,dsDNA
Streptococcus phage SW13,dsDNA
Streptococcus phage SW14,dsDNA
Streptococcus phage SW15,dsDNA
Streptococcus phage SW18,dsDNA
Streptococcus phage TP-778L,dsDNA
Streptococcus phage TP-J34,dsDNA
Streptococcus phage VS-2018a,dsDNA
Streptococcus phage Abc2,dsDNA
Streptococcus phage B0,dsDNA
Streptococcus phage CHPC1005,dsDNA
Streptococcus phage CHPC1027,dsDNA
Streptococcus phage CHPC1029,dsDNA
Streptococcus phage CHPC1033,dsDNA
Streptococcus phage CHPC1036,dsDNA
Streptococcus phage CHPC1041,dsDNA
Streptococcus phage CHPC1045,dsDNA
Streptococcus phage CHPC1046,dsDNA
Streptococcus phage CHPC1062,dsDNA
Streptococcus phage CHPC1067,dsDNA
Streptococcus phage CHPC1091,dsDNA
Streptococcus phage CHPC1148,dsDNA
Streptococcus phage CHPC1156,dsDNA
Streptococcus phage CHPC572,dsDNA
Streptococcus phage CHPC595,dsDNA
Streptococcus phage CHPC642,dsDNA
Streptococcus phage CHPC663,dsDNA
Streptococcus phage CHPC873,dsDNA
Streptococcus phage CHPC875,dsDNA
Streptococcus phage CHPC877,dsDNA
Streptococcus phage CHPC879,dsDNA
Streptococcus phage CHPC919,dsDNA
Streptococcus phage CHPC925,dsDNA
Streptococcus phage CHPC927,dsDNA
Streptococcus phage CHPC928,dsDNA
Streptococcus phage CHPC930,dsDNA
Streptococcus phage CHPC950,dsDNA
Streptococcus phage CHPC979,dsDNA
Streptococcus phage D1024,dsDNA
Streptococcus phage D1811,dsDNA
Streptococcus phage D4276,dsDNA
Streptococcus phage DT1,dsDNA
Streptococcus phage L5A1,dsDNA
Streptococcus phage M19,dsDNA
Streptococcus phage MM25,dsDNA
Streptococcus phage 128,dsDNA
Streptococcus phage 53,dsDNA
Streptococcus phage 7201,dsDNA
Streptococcus phage 73,dsDNA
Streptococcus phage 7A5,dsDNA
Streptococcus phage P0091,dsDNA
Streptococcus phage P3681,dsDNA
Streptococcus phage P3684,dsDNA
Streptococcus phage P5641,dsDNA
Streptococcus phage P5651,dsDNA
Streptococcus phage P7132,dsDNA
Streptococcus phage P7133,dsDNA
Streptococcus phage P7134,dsDNA
Streptococcus phage P7151,dsDNA
Streptococcus phage P7152,dsDNA
Streptococcus phage P7154,dsDNA
Streptococcus phage P7573,dsDNA
Streptococcus phage P7574,dsDNA
Streptococcus phage P7601,dsDNA
Streptococcus phage P7602,dsDNA
Streptococcus phage P7631,dsDNA
Streptococcus phage P7632,dsDNA
Streptococcus phage P7633,dsDNA
Streptococcus phage P9851,dsDNA
Streptococcus phage P9854,dsDNA
Streptococcus phage P9901,dsDNA
Streptococcus phage P9902,dsDNA
Streptococcus phage P9903,dsDNA
Streptococcus phage Sfi19,dsDNA
Streptococcus phage Sfi21,dsDNA
Streptococcus phage STP1,dsDNA
Streptococcus phage SW1,dsDNA
Streptococcus phage SW11,dsDNA
Streptococcus phage SW12,dsDNA
