Species,Genome.composition
Newlavirus,ssDNA(+/-)
Olene mendosa nucleopolyhedrovirus,dsDNA
Orthotulasvirus tulasnellae,RNA
WigFec circovirus 2,ssDNA(+/-)
WigFec circovirus 1,ssDNA(+/-)
Heterobasidion ourmia-like virus 1,ssRNA(+)
Mongoose-associated cyclovirus,ssDNA(+/-)
Mongoose-associated cyclovirus,ssDNA(+/-)
Mongoose-associated circovirus,ssDNA(+/-)
Psittacine parvovirus 1,ssDNA(+/-)
Amdoparvovirus carnivoran5,ssDNA(+/-)
robinz virus RP_1170,ssDNA(+/-)
robinz virus RP_736,ssDNA(+/-)
robinz virus RP_620,ssDNA(+/-)
robinz virus RP_584,ssDNA(+/-)
robinz virus RP_526,ssDNA(+/-)
robinz virus RP_493,ssDNA(+/-)
robinz virus RP_259,ssDNA(+/-)
Longquan Niviventer coninga ledantevirus 1,ssRNA(-)
Wufeng Rhinolophus pearsonii tupavirus 1,ssRNA(-)
Fushun ischnura senegalensis lispivirus 1,ssRNA(-)
Sanya nyamivirus 1,ssRNA(-)
Guiyang lispivirus 2,ssRNA(-)
Guiyang lispivirus 1,ssRNA(-)
Hangzhou cletus punctiger lispivirus 1,ssRNA(-)
Thriprhavirus intonsa,ssRNA(-)
Hangzhou acrida cinerea lispivirus 1,ssRNA(-)
Hangzhou eysarcoris guttigerus lispivirus 1,ssRNA(-)
Hangzhou scotinophara lurida lispivirus 1,ssRNA(-)
Horse parvovirus CSF,ssDNA(+/-)
Scorzonera virus A,ssRNA(+)
Xinjiang mymona-like virus 2,ssRNA(-)
Yunnan mymona-like virus 1,ssRNA(-)
Equine circovirus 1,ssDNA(+/-)
Rhabdoviridae sp.,ssRNA(-)
Avesvirus sinense,ssRNA(-)
Equine protoparvovirus,ssDNA(+/-)
Mejal virus,RNA
Magnaporthe oryzae mononegaambi virus 1,RNA
Wolvfec circovius,ssDNA(+/-)
Metaplexis yellow mottle-associated virus,dsDNA-RT
Grapevine-associated mononega-like virus 3,ssRNA(-)
Trabala vishnou gigantina nucleopolyhedrovirus,dsDNA
Actinidia cytorhabdovirus JS27,ssRNA(-)
Marigold mosaic virus,ssRNA(+)
Camellia virus A,ssRNA(+)
Armillaria mellea ourmia-like virus 2,ssRNA(+)
Armillaria mellea ourmia-like virus 1,ssRNA(+)
Lentimonavirus armillariae,ssRNA(-)
Duck-associated chapparvovirus 2,ssDNA(+/-)
Duck-associated chapparvovirus 1,ssDNA(+/-)
Duck-associated ambidensovirus 1,ssDNA(+/-)
Agapanthus carlavirus B,ssRNA(+)
Bemisia tabaci arlivirus 2,ssRNA(-)
Bemisia tabaci arlivirus 1,ssRNA(-)
Magnaporthe oryzae botourmiavirus 2,ssRNA(+)
Acanthamoeba castellanii medusavirus,unknown
Pestalotiopsis botourmiavirus 3,ssRNA(+)
Pestalotiopsis botourmiavirus 2,ssRNA(+)
Magnaporthe oryzae botourmiavirus 9,ssRNA(+)
Sodak rhabdovirus 1,ssRNA(-)
Labrador amdoparvovirus 1,ssDNA(+/-)
Bat associated cyclovirus,ssDNA(+/-)
Bat associated cyclovirus,ssDNA(+/-)
Sweetbriar rose curly top-associated virus,ssRNA(+)
Bat associated densovirus,ssDNA(+/-)
Bat associated densovirus,ssDNA(+/-)
Bat associated densovirus,ssDNA(+/-)
Bat associated densovirus,ssDNA(+/-)
Bat associated densovirus,ssDNA(+/-)
Caesalpinia ferrea associated virus,DNA
Heliosvirus raunefjordenense,dsDNA
Sonfela circovirus 2,ssDNA(+/-)
Sonfela circovirus 1,ssDNA(+/-)
Chaphamaparvovirus strigiform1,ssDNA(+/-)
Fusarium oxysporum ourmia-like virus,ssRNA(+)
Clivia yellow stripe virus,ssRNA(+)
Clivia carlavirus A,ssRNA(+)
