Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Scutavirus,,Scutavirus chelonidalpha5
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Scutavirus,,Scutavirus testudinidalpha3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus atelinealpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus bovinealpha2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus cercopithecinealpha2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus humanalpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus humanalpha2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus leporidalpha4
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha4
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus paninealpha3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus papiinealpha2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus pteropodidalpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus pteropodidalpha2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus saimiriinealpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus bovinealpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus bovinealpha5
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus bubalinealpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus canidalpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus caprinealpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus cercopithecinealpha9
