Species,Family,Genome.composition
Orthobunyavirus catqueense,Peribunyaviridae,ssRNA(-)
Ancient caribou feces associated virus,,unknown
Coccinia mosaic Tamil Nadu virus,Geminiviridae,ssDNA(+/-)
Ilomantsi virus,Flaviviridae,ssRNA(+)
Equine hepacivirus,Flaviviridae,ssRNA(+)
Dhillonvirus EK99P1,,dsDNA
Gamaleyavirus APEC5,Schitoviridae,dsDNA
Pseudomonas phage MP48,,dsDNA
Porcine associated porprismacovirus 6,Smacoviridae,ssDNA
Small begomovirus-associated satellite,,DNA
Elephant endotheliotropic herpesvirus 5,Orthoherpesviridae,dsDNA
Chicken picornavirus 4,Picornaviridae,ssRNA(+)
Gammanudivirus pemonodonis,Nudiviridae,dsDNA
Kratosvirus quantuckense,Schizomimiviridae,dsDNA
Phomopsis longicolla hypovirus,Hypoviridae,ssRNA(+)
Prunus virus T,Betaflexiviridae,ssRNA(+)
Bandavirus heartlandense,Phenuiviridae,ssRNA(+/-)
Bovine astrovirus CH13,Astroviridae,ssRNA(+)
Alphafusarivirus roselliniae,Fusariviridae,ssRNA
McMurdo Ice Shelf pond-associated circular DNA virus-4,,ssDNA
Drosophila subobscura Nora virus,,ssRNA(+)
McMurdo Ice Shelf pond-associated circular DNA virus-8,,ssDNA
Faba bean necrotic yellows C11 alphasatellite,Alphasatellitidae,ssDNA
Yellow oat grass mosaic virus,Potyviridae,ssRNA(+)
Aveparvovirus galliform1,Parvoviridae,ssDNA(+/-)
Mardivirus columbidalpha1,Orthoherpesviridae,dsDNA
Pigeonpox virus,Poxviridae,dsDNA
Unaquatrovirus LN25,,dsDNA
Leuconostoc phage phiLNTR2,,dsDNA
Leuconostoc virus LNTR3,,dsDNA
Listeria phage LP-030-3,,dsDNA
Pegivirus platyrrhini,Flaviviridae,ssRNA(+)
Mycobacterium phage Damien,,dsDNA
Mycobacterium phage Pinto,,dsDNA
Streptococcus phage DCC1738,,dsDNA
Homburgvirus LP26,,dsDNA
Simplexvirus pteropodidalpha1,Orthoherpesviridae,dsDNA
Orthobornavirus serini,Bornaviridae,ssRNA(-)
Streptococcus phage K13,,dsDNA
Nitrincola phage 1M3-16,,dsDNA
Solanum mosaic Bolivia virus,Geminiviridae,ssDNA(+/-)
Xitorquevirus molos1,Anelloviridae,ssDNA(-)
Lambdatorquevirus phoci3,Anelloviridae,ssDNA(-)
Umbravirus ethiopiaense,Tombusviridae,ssRNA(+)
Middelburg virus,Togaviridae,ssRNA(+)
Vibrio phage ICP2_2013_A_Haiti,Zobellviridae,dsDNA
Rogunavirus AHP42,Drexlerviridae,dsDNA
Agatevirus bobb,Herelleviridae,dsDNA
Rogunavirus AHS24,Drexlerviridae,dsDNA
Porcine associated porprismacovirus 7,Smacoviridae,ssDNA
Cladosporium cladosporioides polymycovirus 1,Polymycoviridae,RNA
Varicellovirus equidalpha3,Orthoherpesviridae,dsDNA
Megrivirus C,Picornaviridae,ssRNA(+)
Ageratum conyzoides associated symptomless alphasatellite,Alphasatellitidae,ssDNA
Sweet potato leaf curl Guangxi virus,Geminiviridae,ssDNA(+/-)
Gemykibivirus bovas1,Genomoviridae,ssDNA
Mamastrovirus 2,Astroviridae,ssRNA(+)
Rose leaf curl virus,Geminiviridae,ssDNA(+/-)
Gentian ovary ringspot virus,Virgaviridae,ssRNA(+)
Senegalese sole Iberian betanodavirus,Nodaviridae,ssRNA(+)
Drosophila immigrans Nora virus,,ssRNA(+)
McMurdo Ice Shelf pond-associated circular DNA virus-5,,ssDNA
Pigeon aviadenovirus A,Adenoviridae,dsDNA
McMurdo Ice Shelf pond-associated circular DNA virus-1,,ssDNA
Faba bean necrotic yellows C7 alphasatellite,Alphasatellitidae,ssDNA
Aveparvovirus galliform1,Parvoviridae,ssDNA(+/-)
Cherry twisted leaf associated virus,Betaflexiviridae,ssRNA(+)
Nyavirus sierranevadaense,Nyamiviridae,ssRNA(-)
Roundleaf bat hepatitis B virus,Hepadnaviridae,dsDNA-RT
Unaquatrovirus LN34,,dsDNA
Limdunavirus LN12,,dsDNA
Homburgvirus LP114,,dsDNA
Pecentumvirus LP048,Herelleviridae,dsDNA
Enterococcus phage IME-EFm1,,dsDNA
Sextaecvirus sextaec,,dsDNA
Ghunavirus PSA2,Autographiviridae,dsDNA
Luffa puckering and leaf distortion-associated betasatellite [India:Gurdaspur:Okra:2013],Tolecusatellitidae,ssDNA
Macavirus bovinegamma6,Orthoherpesviridae,dsDNA
Pseudomonas phage phiPSA1,,dsDNA
Sclerotinia sclerotiorum debilitation-associated RNA virus 2,,ssRNA(+)
Hawkeyevirus hawkeye,,dsDNA
Nevevirus P078,,dsDNA
Bastillevirus CAM003,Herelleviridae,dsDNA
Bastillevirus hoodyT,Herelleviridae,dsDNA
Nevevirus P092,,dsDNA
Veracruzvirus phantastic,,dsDNA
Saphexavirus VD13,,dsDNA
Timquatrovirus zoeJ,,dsDNA
Muldoonvirus PS2,,dsDNA
Tequintavirus FFH1,Demerecviridae,dsDNA
Duck megrivirus,Picornaviridae,ssRNA(+)
Nonagvirus nv9g,,dsDNA
Goose calicivirus,Caliciviridae,ssRNA(+)
Tanay virus,,unknown
Nhumirim virus,Flaviviridae,ssRNA(+)
Human cosavirus,Picornaviridae,ssRNA(+)
Sclerotinia sclerotiorum betaendornavirus 1,Endornaviridae,dsRNA
Tortoise rafivirus A,Picornaviridae,ssRNA(+)
Treisepsilonpapillomavirus 1,Papillomaviridae,dsDNA
Cyclovirus kisikisi,Circoviridae,ssDNA(+/-)
Black medic leafroll alphasatellite 1,Alphasatellitidae,ssDNA
Dyochipapillomavirus 1,Papillomaviridae,dsDNA
Cyclovirus libelula,Circoviridae,ssDNA(+/-)
Suwonvirus PM1,Chaseviridae,dsDNA
Copiparvovirus ungulate4,Parvoviridae,ssDNA(+/-)
Taupapillomavirus 2,Papillomaviridae,dsDNA
Alphapolyomavirus procyonis,Polyomaviridae,dsDNA
Axonopus compressus streak virus,Geminiviridae,ssDNA(+/-)
Dunaliella viridis virus SI2,,dsDNA
Mammarenavirus merinoense,Arenaviridae,ssRNA(+/-)
Mycobacterium phage Dori,,dsDNA
Brujitavirus babsiella,,dsDNA
Acadianvirus acadian,,dsDNA
Certrevirus CR9,,dsDNA
Mycobacterium phage Akoma,,dsDNA
Pepyhexavirus poco6,,dsDNA
Angelvirus px29,Straboviridae,dsDNA
Charlievirus Charlie,,dsDNA
Fromanvirus ridgecb,,dsDNA
Rhodococcus phage ReqiDocB7,,dsDNA
Bixzunavirus Bxz1,,dsDNA
Mycobacterium virus GUmbie,,dsDNA
Patiencevirus patience,,dsDNA
Marvinvirus mosmoris,,dsDNA
Wphvirus megatron,Herelleviridae,dsDNA
Jerseyvirus Ent1,,dsDNA
Bernalvirus bernal13,,dsDNA
Sea lion mastadenovirus A,Adenoviridae,dsDNA
Negarvirus WP2,Rountreeviridae,dsDNA
Vequintavirus FFH2,,dsDNA
Mogiana tick virus,Flaviviridae,ssRNA(+)
PoSCV Kor J481,Smacoviridae,ssDNA
Enterovirus sp.,Picornaviridae,ssRNA(+)
Alphamesonivirus 4,Mesoniviridae,ssRNA(+)
Pestivirus antilocaprae,Flaviviridae,ssRNA(+)
Persimmon latent virus,,dsRNA
Dyokappapapillomavirus 2,Papillomaviridae,dsDNA
Circo-like virus-Brazil,,ssDNA
Fur seal faeces associated circular DNA virus,Circoviridae,ssDNA(+/-)
Faba bean necrotic stunt alphasatellite 2,Alphasatellitidae,ssDNA
Porcine stool-associated circular virus 5,Circoviridae,ssDNA(+/-)
Gemycircularvirus draga1,Genomoviridae,ssDNA
Dragonfly cyclicusvirus,,ssDNA
Mycobacterium phage Alsfro,,dsDNA
Niminivirus,Geminiviridae,ssDNA(+/-)
Sicinivirus A,Picornaviridae,ssRNA(+)
Reptilian orthoreovirus,Spinareoviridae,dsRNA
Gemycircularvirus cassa1,Genomoviridae,ssDNA
Berlinvirus Yepf,Autographiviridae,dsDNA
Mink coronavirus 1,Coronaviridae,ssRNA(+)
Fromanvirus bruns,,dsDNA
Pegunavirus soto,,dsDNA
Gladiatorvirus hammer,,dsDNA
Pegunavirus Pg1,,dsDNA
Omegavirus thibault,,dsDNA
Fromanvirus nepal,,dsDNA
Fromanvirus doom,,dsDNA
Pegunavirus oline,,dsDNA
Mycobacterium phage Lilac,,dsDNA
Turbidovirus turbido,,dsDNA
Fromanvirus perseus,,dsDNA
Bignuzvirus bignuz,,dsDNA
Nordland virus,Caliciviridae,ssRNA(+)
Jatropha mosaic virus,Geminiviridae,ssDNA(+/-)
Aalivirus A,Picornaviridae,ssRNA(+)
Sugarcane white streak virus,Geminiviridae,ssDNA(+/-)
Gaillardia latent virus,Betaflexiviridae,ssRNA(+)
Faba bean necrotic stunt alphasatellite 1,Alphasatellitidae,ssDNA
Lambdapapillomavirus 4,Papillomaviridae,dsDNA
Cyanoramphus nest associated circular X DNA virus,,ssDNA
Porcine stool-associated circular virus 4,Circoviridae,ssDNA(+/-)
Cyclovirus taniilai,Circoviridae,ssDNA(+/-)
Anopheles minimus iridovirus,Iridoviridae,dsDNA
Gemyduguivirus draga1,Genomoviridae,ssDNA
Vibrio phage CHOED,,dsDNA
Dragonfly orbiculatusvirus,,ssDNA
Pouzolzia golden mosaic virus,Geminiviridae,ssDNA(+/-)
Alethinophid 2 reptarenavirus,Arenaviridae,ssRNA(+/-)
Danaus plexippus plexippus iteravirus,Parvoviridae,ssDNA(+/-)
Reptarenavirus rotterdamense,Arenaviridae,ssRNA(+/-)
Bixzunavirus Bxz1,,dsDNA
Omegavirus courthouse,,dsDNA
Mycobacterium virus DeadP,,dsDNA
Fromanvirus kugel,,dsDNA
Corndogvirus firecracker,,dsDNA
Pepyhexavirus pepy6,,dsDNA
Rhodococcus phage ReqiPine5,,dsDNA
Fromanvirus euphoria,,dsDNA
Coopervirus stinger,,dsDNA
Kratiovirus larva,,dsDNA
Mycobacterium phage Wile,,dsDNA
Mycobacterium virus Liefie,,dsDNA
Kelmasvirus RSB2,Autographiviridae,dsDNA
Mycobacterium virus Drago,,dsDNA
Anayavirus JAWS,,dsDNA
Rhizoctonia solani dsRNA virus 2,Partitiviridae,dsRNA
Fromanvirus violet,,dsDNA
Mimivirus terra2,Mimiviridae,dsDNA
Simplexvirus paninealpha3,Orthoherpesviridae,dsDNA
Lagenaria siceraria alphaendornavirus,Endornaviridae,dsRNA
Bovine astrovirus B170/HK,Astroviridae,ssRNA(+)
Mycobacterium phage Adler,,dsDNA
Caeruleovirus Bcp1,Herelleviridae,dsDNA
Mycobacterium phage Seabiscuit,,dsDNA
Rogunavirus E41c,Drexlerviridae,dsDNA
Sedonavirus tusconh,Kyanoviridae,dsDNA
Litunavirus Ab09,Schitoviridae,dsDNA
Leishmania aethiopica RNA virus,Totiviridae,dsRNA
Mycobacterium phage Lamina13,,dsDNA
Tequatrovirus e112,Straboviridae,dsDNA
Kochitakasuvirus KPP25,,dsDNA
Soybean cyst nematode virus 5,Flaviviridae,ssRNA(+)
Mosavirus A,Picornaviridae,ssRNA(+)
Rosavirus A,Picornaviridae,ssRNA(+)
Heliconius erato iflavirus,Iflaviridae,ssRNA(+)
Cyanoramphus nest associated circular K DNA virus,,ssDNA
Gammapapillomavirus 24,Papillomaviridae,dsDNA
Malvastrum leaf curl Guangdong betasatellite,Tolecusatellitidae,ssDNA
Porprismacovirus turas1,Smacoviridae,ssDNA
Cyclovirus tonbo,Circoviridae,ssDNA(+/-)
Circovirus mink,Circoviridae,ssDNA(+/-)
Farahnazvirus ISF9,,dsDNA
Gemykibivirus draga1,Genomoviridae,ssDNA
Dragonfly circularisvirus,,ssDNA
Melegrivirus A,Picornaviridae,ssRNA(+)
Kuttervirus SJ2,Ackermannviridae,dsDNA
Nepavirus,,ssDNA
Baminivirus,Geminiviridae,ssDNA(+/-)
Madariaga virus,Togaviridae,ssRNA(+)
Bixzunavirus nappy,,dsDNA
Fromanvirus billknuckles,,dsDNA
Pipefishvirus gadjet,,dsDNA
Fromanvirus alma,,dsDNA
Fromanvirus skipole,,dsDNA
Mycobacterium virus SG4,,dsDNA
Hnatkovirus DS6A,,dsDNA
Alphahypovirus fusarii,Hypoviridae,ssRNA(+)
Fromanvirus jasper,,dsDNA
Avanivirus avani,,dsDNA
Bixzunavirus dandelion,,dsDNA
Fromanvirus trixie,,dsDNA
Donellivirus gee,,dsDNA
Casadabanvirus PA1KOR,,dsDNA
Bixzunavirus Bxz1,,dsDNA
Mycobacterium virus Rumpelstiltskin,Vilmaviridae,dsDNA
Porcine bocavirus,Parvoviridae,ssDNA(+/-)
Alphabaculovirus mabrassicae,Baculoviridae,dsDNA
Iflavirus betaspexiguae,Iflaviridae,ssRNA(+)
Bovine astrovirus B76/HK,Astroviridae,ssRNA(+)
Posavirus 1,,ssRNA(+)
Simpcentumvirus Smp131,Peduoviridae,dsDNA
Johnsonvirus Ea92,Schitoviridae,dsDNA
Presleyvirus presley,Schitoviridae,dsDNA
Acionnavirus monteraybay,Kyanoviridae,dsDNA
Charlievirus michellemybell,,dsDNA
Nieuwekanaalvirus KBNP1711,,dsDNA
Mycobacterium phage Oaker,,dsDNA
Rigallicvirus P106B,,dsDNA
Fishburnevirus donovan,,dsDNA
Jolieduovirus jolie2,,dsDNA
Santafevirus sf40AC,,dsDNA
Caroctavirus CR8,Autographiviridae,dsDNA
Narcissus late season yellows virus,Potyviridae,ssRNA(+)
Salmonella phage vB_SenS-Ent2,,dsDNA
Sulfolobus monocaudavirus SMV1,Bicaudaviridae,dsDNA
Efquatrovirus EF3,,dsDNA
Rhizobium phage vB_RleS_L338C,,dsDNA
Kayvirus SA12,Herelleviridae,dsDNA
Brussowvirus 20617,Aliceevansviridae,dsDNA
Dyoomikronpapillomavirus 1,Papillomaviridae,dsDNA
Dragonfly larvae associated circular virus-5,,ssDNA
Iflavirus vomitus,Iflaviridae,ssRNA(+)
Protobacilladnavirus chaetoc,Bacilladnaviridae,ssDNA
Dragonfly larvae associated circular virus-1,,ssDNA
Anomala cuprea entomopoxvirus,Poxviridae,dsDNA
Pithovirus sibericum,,dsDNA
Tombusvirus melongenae,Tombusviridae,ssRNA(+)
Apricot vein clearing associated virus,Betaflexiviridae,ssRNA(+)
Pestivirus australiaense,Flaviviridae,ssRNA(+)
Citrus endogenous pararetrovirus,Retroviridae,ssRNA-RT
Milk vetch dwarf alphasatellite 3,Alphasatellitidae,ssDNA
Formica exsecta virus 2,Iflaviridae,ssRNA(+)
Fabavirus lamii,Secoviridae,ssRNA(+)
Turnip rosette virus,Solemoviridae,ssRNA(+)
Phutvirus PPpW4,Autographiviridae,dsDNA
Charlievirus redi,,dsDNA
Psychrobacter phage Psymv2,,dsDNA
Anopheline-associated C virus,,unknown
Porcine astrovirus 4,Astroviridae,ssRNA(+)
Posavirus 2,,ssRNA(+)
Porcine astrovirus 5,Astroviridae,ssRNA(+)
Bovine astrovirus B18/HK,Astroviridae,ssRNA(+)
Pettyvirus petty,Autographiviridae,dsDNA
Audreyjarvisvirus L47,,dsDNA
Backyardiganvirus LHTSCC,,dsDNA
Coopervirus JAMaL,,dsDNA
Drulisvirus F19,Autographiviridae,dsDNA
Efquatrovirus EF4,,dsDNA
Backyardiganvirus peaches,,dsDNA
Camtrevirus CM3,,dsDNA
Mycobacterium phage 20ES,,dsDNA
Karamvirus pg7,Straboviridae,dsDNA
Julieunavirus julie1,,dsDNA
Sozzivirus sv9805,,dsDNA
Sozzivirus S13,,dsDNA
Invertebrate iridescent virus 22,Iridoviridae,dsDNA
Sozzivirus S11,,dsDNA
Ustilaginoidea virens RNA virus 3,Totiviridae,dsRNA
Milk vetch dwarf C2 alphasatellite,Alphasatellitidae,ssDNA
Phietavirus StauST3985,,dsDNA
Hibiscus bacilliform virus GD1,Caulimoviridae,dsDNA-RT
Wallerfield virus,,ssRNA(+)
Pea yellow stunt virus,Nanoviridae,ssDNA(+)
Dragonfly larvae associated circular virus-2,,ssDNA
Dragonfly larvae associated circular virus-7,,ssDNA
Avihepevirus magniiecur,Hepeviridae,ssRNA(+)
Limnipivirus B,Picornaviridae,ssRNA(+)
Anguilla anguilla circovirus,Circoviridae,ssDNA(+/-)
Magnaporthe oryzae chrysovirus 1,Chrysoviridae,dsRNA
Alphabaculovirus chomurinanae,Baculoviridae,dsDNA
Spinach yellow vein virus,Geminiviridae,ssDNA(+/-)
Vibrio phage SHOU24,,dsDNA
Tsamsavirus tsamsa,,dsDNA
Nankokuvirus PAKP3,,dsDNA
Hedyotis yellow mosaic betasatellite,Tolecusatellitidae,ssDNA
Gamaleyavirus Sb1,Schitoviridae,dsDNA
Mycobacterium phage 39HC,,dsDNA
Sextaecvirus SEP9,,dsDNA
Cheoctovirus saal,,dsDNA
Lokivirus IMEAB3,,dsDNA
Backyardiganvirus bellusterra,,dsDNA
Pseudomonas phage vB_PaeP_Tr60_Ab31,,dsDNA
Vibrio phage PVA1,,dsDNA
Croceibacter phage P2559Y,,dsDNA
Trigintaduovirus 32HC,,dsDNA
Duamitovirus scsc6,Mitoviridae,ssRNA(+)
Invertebrate iridescent virus 22,Iridoviridae,dsDNA
Cypovirus 2,Spinareoviridae,dsRNA
Ralstonia phage 1 NP-2014,Inoviridae,ssDNA(+)
Kayfunavirus CR44b,Autographiviridae,dsDNA
Wphvirus BPS10C,Herelleviridae,dsDNA
Kayfunavirus Dev2,Autographiviridae,dsDNA
Milk vetch dwarf China alphasatellite,Alphasatellitidae,ssDNA
Ageratum yellow vein China alphasatellite,Alphasatellitidae,ssDNA
Tomato leaf curl Liwa virus,Geminiviridae,ssDNA(+/-)
Kama virus,Flaviviridae,ssRNA(+)
Dragonfly larvae associated circular virus-6,,ssDNA
Dragonfly larvae associated circular virus-9,,ssDNA
Dragonfly larvae associated circular virus-4,,ssDNA
Aichivirus C,Picornaviridae,ssRNA(+)
Tomato leaf curl Gandhinagar betasatellite,Tolecusatellitidae,ssDNA
Papaya leaf curl alphasatellite,Alphasatellitidae,ssDNA
Formica exsecta virus 1,Dicistroviridae,ssRNA(+)
Zucchini tigre mosaic virus,Potyviridae,ssRNA(+)
Pseudomonas phage PPpW-3,,dsDNA
Nankokuvirus PAKP3,,dsDNA
Bidens mosaic virus,Potyviridae,ssRNA(+)
Yokohamavirus PEi21,,dsDNA
Mycobacterium phage Artemis2UCLA,,dsDNA
Mguuvirus JG068,Autographiviridae,dsDNA
Seunavirus 4MG,,dsDNA
Benedictvirus jovo,,dsDNA
Gladiatorvirus CloudWang3,,dsDNA
Garlic virus D,Alphaflexiviridae,ssRNA(+)
Donkey orchid symptomless virus,Alphaflexiviridae,ssRNA(+)
Mimivirus-dependent virus Zamilon,Lavidaviridae,dsDNA
Cherry leaf scorch small circular viroid-like RNA 1,,ssRNA
Lindendrivevirus EB49,Drexlerviridae,dsDNA
Justusliebigvirus phi92,,dsDNA
Phlebovirus arumowotense,Phenuiviridae,ssRNA(+/-)
Pegunavirus suffolk,,dsDNA
Bovine astrovirus B76-2/HK,Astroviridae,ssRNA(+)
Porcine astrovirus 2,Astroviridae,ssRNA(+)
Jwalphavirus jwalpha,Schitoviridae,dsDNA
Eagleeyevirus eagleeye,,dsDNA
Cinunavirus CN1A,,dsDNA
Rosenblumvirus GRCS,Rountreeviridae,dsDNA
Mycobacterium phage RhynO,,dsDNA
Mycobacterium phage CRB1,,dsDNA
Mycobacterium phage Echild,,dsDNA
Agricanvirus Ea3570,,dsDNA
Eiauvirus eiAU,,dsDNA
Geobacillus phage GBK2,,dsDNA
Iapetusvirus EaH1,,dsDNA
Laodelphax striatella honeydew virus 1,Iflaviridae,ssRNA(+)
Alphapleolipovirus HHPV2,Pleolipoviridae,dsDNA; ssDNA
Biseptimavirus StauST3984,,dsDNA
Bruynoghevirus TL,,dsDNA
Schizotequatrovirus vh7d,Straboviridae,dsDNA
Invertebrate iridovirus 25,Iridoviridae,dsDNA
Anayavirus validus,,dsDNA
Milk vetch dwarf alphasatellite 2,Alphasatellitidae,ssDNA
Black medic leaf roll virus,Nanoviridae,ssDNA(+)
Pea necrotic yellow dwarf virus,Nanoviridae,ssDNA(+)
Sida yellow vein China alphasatellite,Alphasatellitidae,ssDNA
Orthoflavivirus tyuleniyense,Flaviviridae,ssRNA(+)
Alphabaculovirus busuppressariae,Baculoviridae,dsDNA
Dragonfly larvae associated circular virus-8,,ssDNA
Dragonfly larvae associated circular virus-10,,ssDNA
Dragonfly larvae associated circular virus-3,,ssDNA
Dyosigmapapillomavirus 1,Papillomaviridae,dsDNA
Tomato leaf curl Gandhinagar virus,Geminiviridae,ssDNA(+/-)
Kayvirus Sb1,Herelleviridae,dsDNA
Pakpunavirus PAKP4,,dsDNA
Abouovirus davies,,dsDNA
Mycobacterium phage Graduation,,dsDNA
Porcine parvovirus 5,Parvoviridae,ssDNA(+/-)
Gammapolyomavirus cratorquatus,Polyomaviridae,dsDNA
Mycobacterium phage Nala,,dsDNA
Xylella phage Paz,Autographiviridae,dsDNA
Cardamom bushy dwarf alphasatellite,Alphasatellitidae,ssDNA
Mycobacterium phage HanShotFirst,,dsDNA
Olive viral satellite RNA,,RNA
Cequinquevirus LLKu,,dsDNA
Gladiatorvirus zaka,,dsDNA
Firingavirus RSK1,,dsDNA
Penaeus monodon circovirus VN11,Circoviridae,ssDNA(+/-)
Sakobuvirus A,Picornaviridae,ssRNA(+)
Lactobacillus phage phiJB,,dsDNA
Gyrovirus homsa4,Anelloviridae,ssDNA(-)
Slashvirus staley,,dsDNA
Mycobacterium phage Fredward,,dsDNA
Bequatrovirus spock,Herelleviridae,dsDNA
Wumptrevirus PP,,dsDNA
Slashvirus slash,,dsDNA
Shigella phage SfIV,,dsDNA
Jerseyvirus SETP13,,dsDNA
Murrumbidgee virus,Peribunyaviridae,ssRNA(-)
Bandavirus razdanense,Phenuiviridae,ssRNA(+/-)
Pipapillomavirus 1,Papillomaviridae,dsDNA
Turkey aviadenovirus D,Adenoviridae,dsDNA
Squirrelpox virus,Poxviridae,dsDNA
Human endogenous retrovirus K,Retroviridae,ssRNA-RT
Vequintavirus JES2013,,dsDNA
Corndogvirus firecracker,,dsDNA
Pahexavirus PHL114L00,,dsDNA
Roseolovirus suidbeta2,Orthoherpesviridae,dsDNA
Simian mastadenovirus F,Adenoviridae,dsDNA
Sweet potato leaf curl Shanghai virus,Geminiviridae,ssDNA(+/-)
Kostyavirus eureka,,dsDNA
Bat coronavirus CDPHE15,Coronaviridae,ssRNA(+)
Bequatrovirus troll,Herelleviridae,dsDNA
Blackberry vein banding-associated virus,Closteroviridae,ssRNA(+)
Corndogvirus catdawg,,dsDNA
Cheoctovirus hamulus,,dsDNA
Mapvirus muddy,,dsDNA
Acadianvirus reprobate,,dsDNA
Pakpunavirus PAKP2,,dsDNA
Mycobacterium phage PhatBacter,,dsDNA
Nankokuvirus PAKP3,,dsDNA
Mycobacterium phage Conspiracy,,dsDNA
Pradovirus prado,Autographiviridae,dsDNA
Kayvirus S253,Herelleviridae,dsDNA
Carnation yellow fleck virus,Closteroviridae,ssRNA(+)
Aureusvirus dioscoreae,Tombusviridae,ssRNA(+)
Staphylococcus phage phiRS7,,dsDNA
Gammapapillomavirus 21,Papillomaviridae,dsDNA
Nepovirus solani,Secoviridae,ssRNA(+)
Nitunavirus grass,Herelleviridae,dsDNA
Porcine torovirus,Tobaniviridae,ssRNA(+)
Kuttervirus marshall,Ackermannviridae,dsDNA
Andromedavirus glittering,,dsDNA
Cequinquevirus Ldb,,dsDNA
Vibrio phage VPUSM 8,Peduoviridae,dsDNA
East African cassava mosaic Malawi virus,Geminiviridae,ssDNA(+/-)
Scindoambidensovirus hymenopteran1,Parvoviridae,ssDNA(+/-)
Triavirus R1988,,dsDNA
Jerseyvirus SETP7,,dsDNA
Rhizoctonia cerealis alphaendornavirus 1,Endornaviridae,dsRNA
Wallal virus,Sedoreoviridae,dsRNA
Dill cryptic virus 1,Partitiviridae,dsRNA
Perhabdovirus anguilla,Rhabdoviridae,ssRNA(-)
Mycobacterium phage PhrostyMug,,dsDNA
Pahexavirus PHL060L00,,dsDNA
Taupapillomavirus 3,Papillomaviridae,dsDNA
Pahexavirus PHL112N00,,dsDNA
Blueberry shock virus,Bromoviridae,ssRNA(+)
Ageratum latent virus,Bromoviridae,ssRNA(+)
Taipeivirus 0507KN21,Ackermannviridae,dsDNA
Benedictvirus littlecherry,,dsDNA
Baikalvirus PaBG,,dsDNA
Gammapapillomavirus 15,Papillomaviridae,dsDNA
Mycobacterium phage Bobi,,dsDNA
Mycobacterium phage Wanda,,dsDNA
Mycobacterium phage Contagion,,dsDNA
Gyrovirus homsa2,Anelloviridae,ssDNA(-)
Yellow tailflower mild mottle virus,Virgaviridae,ssRNA(+)
Andromedavirus blastoid,,dsDNA
Pagevirus page,,dsDNA
Andromedavirus riggi,,dsDNA
Bequatrovirus bigbertha,Herelleviridae,dsDNA
Junavirus PL1,,dsDNA
Mobuck virus,Sedoreoviridae,dsRNA
Berlinvirus FE44,Autographiviridae,dsDNA
Vesiculovirus eptesicus,Rhabdoviridae,ssRNA(-)
Peduovirus fiAA91ss,Peduoviridae,dsDNA
Turkey aviadenovirus C,Adenoviridae,dsDNA
Orthopteran miniambidensovirus 1,Parvoviridae,ssDNA(+/-)
Sweet potato leaf curl Sichuan virus 2,Geminiviridae,ssDNA(+/-)
Baboon endogenous virus,Retroviridae,ssRNA-RT
Mycobacterium phage SarFire,,dsDNA
Pahexavirus PHL067M01,,dsDNA
Pahexavirus PHL111M01,,dsDNA
Pahexavirus PHL113M01,,dsDNA
Taupapillomavirus 4,Papillomaviridae,dsDNA
Mycobacterium phage AnnaL29,,dsDNA
Tomato mottle mosaic virus,Virgaviridae,ssRNA(+)
Pandoravirus salinus,,dsDNA
Betatectivirus Wip1,Tectiviridae,dsDNA
Hemidesmus yellow mosaic virus,Geminiviridae,ssDNA(+/-)
Chickpea chlorosis Australia virus,Geminiviridae,ssDNA(+/-)
Mycobacterium phage Velveteen,,dsDNA
Mycobacterium phage KayaCho,,dsDNA
Papyrusvirus papyrus,,dsDNA
Mycobacterium phage Jabbawokkie,,dsDNA
Mycobacterium phage Trouble,,dsDNA
Xipapillomavirus 3,Papillomaviridae,dsDNA
Capraria yellow spot virus,Geminiviridae,ssDNA(+/-)
Skunavirus P680,,dsDNA
Puniceispirillum phage HMO-2011,,dsDNA
Skunavirus jm3,,dsDNA
Pandoravirus dulcis,,dsDNA
Tymovirus lycopersici,Tymoviridae,ssRNA(+)
Bacelvirus phi46tres,Pachyviridae,dsDNA
Arvduovirus ArV2,,dsDNA
Helsingorvirus Cba181,,dsDNA
Mycobacterium phage Bruin,,dsDNA
Pipefishvirus bernardo,,dsDNA
Mycobacterium phage HufflyPuff,,dsDNA
Bruynoghevirus PAA2,,dsDNA
Thetahypovirus sclerotiniae,Hypoviridae,ssRNA(+)
Kayvirus S254,Herelleviridae,dsDNA
Jiaoyazivirus RSB3,Autographiviridae,dsDNA
Bocaparvovirus carnivoran4,Parvoviridae,ssDNA(+/-)
Marine gokushovirus,Microviridae,ssDNA(+)
Kuttervirus maynard,Ackermannviridae,dsDNA
Paclarkvirus BHN167,,dsDNA
Pagevirus pony,,dsDNA
Changuinola virus,Sedoreoviridae,dsRNA
Okubovirus camphawk,Herelleviridae,dsDNA
Streptococcus phage TP-778L,Aliceevansviridae,dsDNA
Junavirus J1,,dsDNA
Betabaculovirus clanastomosis,Baculoviridae,dsDNA
Phikmvvirus MPK6,Autographiviridae,dsDNA
Tall oatgrass mosaic virus,Potyviridae,ssRNA(+)
Halyomorpha halys virus,Iflaviridae,ssRNA(+)
Red clover cryptic virus 1,Partitiviridae,dsRNA
Betapolyomavirus elephanti,Polyomaviridae,dsDNA
Sigmavirus obscura,Rhabdoviridae,ssRNA(-)
