Species,Family,Genome.composition
Mobatvirus xuansonense,Hantaviridae,ssRNA(-)
Zirqa virus,,unknown
Orthonairovirus bandiaense,Nairoviridae,ssRNA(-)
Orthonairovirus macquariense,Nairoviridae,ssRNA(-)
Phlebovirus corfouense,Phenuiviridae,ssRNA(+/-)
Orthobunyavirus ganganense,Peribunyaviridae,ssRNA(-)
Xinspivirus xinzhouense,Nairoviridae,ssRNA(-)
Sabavirus americanum,Nairoviridae,ssRNA(-)
Orthobunyavirus buffaloense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus mitchellense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus oyoense,Peribunyaviridae,ssRNA(-)
Orthonairovirus parahaemorrhagiae,Nairoviridae,ssRNA(-)
Demapteravirus dermapteri,Chuviridae,ssRNA(-)
Subterranean clover stunt virus,Nanoviridae,ssDNA(+)
Corchorus yellow vein Cuba virus,Geminiviridae,ssDNA(+/-)
Orthonairovirus soldadoense,Nairoviridae,ssRNA(-)
Orthonairovirus peruense,Nairoviridae,ssRNA(-)
Orthonairovirus abuminaense,Nairoviridae,ssRNA(-)
Orthonairovirus abuhammadense,Nairoviridae,ssRNA(-)
Orthonairovirus issykkulense,Nairoviridae,ssRNA(-)
Orthonairovirus amblyommae,Nairoviridae,ssRNA(-)
Aspergillus fumigatus polymycovirus 1,Polymycoviridae,RNA
Phlebovirus bujaruense,Phenuiviridae,ssRNA(+/-)
Reptilian orthoreovirus,Spinareoviridae,dsRNA
Drosophila melanogaster birnavirus SW-2009a,Birnaviridae,dsRNA
Rotifer birnavirus strain Palavas,Birnaviridae,dsRNA
Mammarenavirus alashanense,Arenaviridae,ssRNA(+/-)
Coguvirus eburi,Phenuiviridae,ssRNA(+/-)
Mammarenavirus lijiangense,Arenaviridae,ssRNA(+/-)
Pacific coast tick phlebovirus,Phenuiviridae,ssRNA(+/-)
Picobirnavirus Equ3,Picobirnaviridae,dsRNA
Uukuvirus dabieshanense,Phenuiviridae,RNA
Ixovirus heckscherense,Phenuiviridae,RNA
Uukuvirus dermacentoris,Phenuiviridae,RNA
Orthotospovirus hippeflavi,Tospoviridae,ssRNA(+/-)
