Organism_Name,Family,Genome.composition
Synechococcus phage ACG-2014f,Kyanoviridae,dsDNA
uncultured phage_MedDCM-OCT-S28-C10,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S28-C3,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S45-C4,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S39-C11,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S38-C3,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S31-C1,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S46-C10,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S45-C18,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S30-C28,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S35-C6,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S42-C7,Autographiviridae,dsDNA
uncultured phage_MedDCM-OCT-S37-C6,Autographiviridae,dsDNA
Canada goose coronavirus,Coronaviridae,ssRNA(+)
Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,Coronaviridae,ssRNA(+)
Guangdong red-banded snake torovirus,Tobaniviridae,ssRNA(+)
Hainan hebius popei torovirus,Tobaniviridae,ssRNA(+)
Chinese broad-headed pond turtle arterivirus,Cremegaviridae,ssRNA(+)
Nanhai ghost shark arterivirus,Nanghoshaviridae,ssRNA(+)
Guangdong greater green snake arterivirus,Gresnaviridae,ssRNA(+)
Hainan oligodon formosanus arterivirus,Olifoviridae,ssRNA(+)
Wuhan japanese halfbeak arterivirus,Nanhypoviridae,ssRNA(+)
Bellinger River virus,Tobaniviridae,ssRNA(+)
Shrew coronavirus,Coronaviridae,ssRNA(+)
Rodent coronavirus,Coronaviridae,ssRNA(+)
Norovirus GIV,Caliciviridae,ssRNA(+)
Halorubrum phage HF2,Hafunaviridae,dsDNA
Haloferax virus HF1,Hafunaviridae,dsDNA
Severe acute respiratory syndrome coronavirus 2,Coronaviridae,ssRNA(+)
Bluetongue virus,Sedoreoviridae,dsRNA
Thermus phage phiOH3,Paulinoviridae,ssDNA(+)
Beet western yellows ST9 associated virus,,ssRNA(+)
Opuntia virus 2,Virgaviridae,ssRNA(+)
Porcine serum associated circular DNA virus 2,,ssDNA
Murid betaherpesvirus 8,Orthoherpesviridae,dsDNA
Bottlenose dolphin adenovirus 1,Adenoviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus E75,Asfarviridae,dsDNA
African swine fever virus OURT 88/3,Asfarviridae,dsDNA
African swine fever virus Benin 97/1,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
African swine fever virus,Asfarviridae,dsDNA
Pectinobacterium phage PEAT2,,dsDNA
Heliothis virescens ascovirus 3g,Ascoviridae,dsDNA
Heliothis virescens ascovirus 3f,Ascoviridae,dsDNA
Paramecium bursaria Chlorella virus CVA-1,Phycodnaviridae,dsDNA
Tree shrew adenovirus 1,Adenoviridae,dsDNA
Bovine adenovirus 1,Adenoviridae,dsDNA
Rhynchosia golden mosaic virus,Geminiviridae,ssDNA(+/-)
Norovirus GII,Caliciviridae,ssRNA(+)
Norovirus GI,Caliciviridae,ssRNA(+)
Norovirus GIV,Caliciviridae,ssRNA(+)
Norovirus GI,Caliciviridae,ssRNA(+)
Norovirus GI,Caliciviridae,ssRNA(+)
Propionibacterium phage QueenBey,,dsDNA
Bosavirus MS-2016a,Parvoviridae,ssDNA(+/-)
Propionibacterium phage Pirate,,dsDNA
Norovirus dog/GVI.1/HKU_Ca026F/2007/HKG,Caliciviridae,ssRNA(+)
Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS,Caliciviridae,ssRNA(+)
Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299,Caliciviridae,ssRNA(+)
Mycobacterium virus TA17a,,dsDNA
Lelystad virus,Arteriviridae,ssRNA(+)
Shuni orthobunyavirus,Peribunyaviridae,ssRNA(-)
Tacaiuma orthobunyavirus,Peribunyaviridae,ssRNA(-)
Patois virus,Peribunyaviridae,ssRNA(-)
Zegla virus,Peribunyaviridae,ssRNA(-)
Artichoke Italian latent virus,Secoviridae,ssRNA(+)
Magnaporthe oryzae ourmia-like virus,Botourmiaviridae,ssRNA(+)
Laurel Lake virus,Phenuiviridae,ssRNA(-)
Anthurium mosaic-associated virus,Chrysoviridae,dsRNA
Witwatersrand virus,Peribunyaviridae,ssRNA(-)
Penicillium janczewskii chrysovirus 2,Chrysoviridae,dsRNA
Colletotrichum gloeosporioides chrysovirus 1,Chrysoviridae,dsRNA
Macrophomina phaseolina chrysovirus 1,Chrysoviridae,dsRNA
Brassica campestris chrysovirus 1,Chrysoviridae,dsRNA
Raphanus sativas chrysovirus 1,Chrysoviridae,dsRNA
Bozo virus,Peribunyaviridae,ssRNA(-)
Birao virus,Peribunyaviridae,ssRNA(-)
Clerodendrum chlorotic spot virus,Rhabdoviridae,ssRNA(-)
Potosi virus,Peribunyaviridae,ssRNA(-)
Ganda bee virus,Phasmaviridae,ssRNA(-)
Serra do Navio virus,Peribunyaviridae,ssRNA(-)
San Angelo virus,Peribunyaviridae,ssRNA(-)
Melao virus,Peribunyaviridae,ssRNA(-)
Lumbo virus,Peribunyaviridae,ssRNA(-)
Keystone virus,Peribunyaviridae,ssRNA(-)
Seattle Prectang virus,Phasmaviridae,ssRNA(-)
Bellavista virus,Peribunyaviridae,ssRNA(-)
Cache Valley virus,Peribunyaviridae,ssRNA(-)
Fort Sherman virus,Peribunyaviridae,ssRNA(-)
Enseada virus,Peribunyaviridae,ssRNA(-)
Guertu virus,Phenuiviridae,ssRNA(+/-)
Tataguine virus,Peribunyaviridae,ssRNA(-)
Rio Preto da Eva virus,Peribunyaviridae,ssRNA(-)
Pacui virus,Peribunyaviridae,ssRNA(-)
Buttonwillow virus,Peribunyaviridae,ssRNA(-)
Utinga virus,Peribunyaviridae,ssRNA(-)
Mermet virus,Peribunyaviridae,ssRNA(-)
Ingwavuma virus,Peribunyaviridae,ssRNA(-)
Ilesha virus,Peribunyaviridae,ssRNA(-)
Schmallenberg virus,Peribunyaviridae,ssRNA(-)
Batai virus,Peribunyaviridae,ssRNA(-)
Jatobal virus,Peribunyaviridae,ssRNA(-)
Cachoeira Porteira virus,Peribunyaviridae,ssRNA(-)
Sororoca virus,Peribunyaviridae,ssRNA(-)
Iaco virus,Peribunyaviridae,ssRNA(-)
Anhembi virus,Peribunyaviridae,ssRNA(-)
Leanyer virus,Peribunyaviridae,ssRNA(-)
Jamestown Canyon virus,Peribunyaviridae,ssRNA(-)
Sango virus,Peribunyaviridae,ssRNA(-)
Sabo virus,Peribunyaviridae,ssRNA(-)
Peaton virus,Peribunyaviridae,ssRNA(-)
Tensaw virus,Peribunyaviridae,ssRNA(-)
Hainan gekko similignum picornavirus,Picornaviridae,ssRNA(+)
Marine RNA virus BC-3,Marnaviridae,ssRNA(+)
Marine RNA virus BC-2,Marnaviridae,ssRNA(+)
Marine RNA virus BC-1,Marnaviridae,ssRNA(+)
Mount Mabu Lophuromys virus 2,Paramyxoviridae,ssRNA(-)
Mount Mabu Lophuromys virus 1,Paramyxoviridae,ssRNA(-)
Vaprio virus,Rhabdoviridae,ssRNA(-)
African eggplant mosaic virus,Potyviridae,ssRNA(+)
Mediterranean ruda virus,Potyviridae,ssRNA(+)
Cacao swollen shoot Ghana Q virus,Caulimoviridae,dsDNA-RT
Cacao swollen shoot Ghana M virus,Caulimoviridae,dsDNA-RT
Prunus geminivirus A,Geminiviridae,ssDNA(+/-)
Paris mosaic necrosis virus,Potyviridae,ssRNA(+)
Datura leaf curl virus,Geminiviridae,ssDNA(+/-)
Mythimna unipuncta nucleopolyhedrovirus,Baculoviridae,dsDNA
Oxyplax ochracea nucleopolyhedrovirus,Baculoviridae,dsDNA
Capuchin monkey hepatitis B virus,Hepadnaviridae,dsDNA-RT
Seewis virus,Hantaviridae,ssRNA(-)
Jacquemontia yellow vein virus,Geminiviridae,ssDNA(+/-)
Caligus rogercresseyi rhabdovirus,Rhabdoviridae,ssRNA(-)
Bean leaf crumple virus,Geminiviridae,ssDNA(+/-)
Angelica bushy stunt virus,Caulimoviridae,dsDNA-RT
Soybean leaf-associated ourmiavirus 2,Botourmiaviridae,ssRNA(+)
Soybean leaf-associated ourmiavirus 1,Botourmiaviridae,ssRNA(+)
Lonomia obliqua multiple nucleopolyhedrovirus,Baculoviridae,dsDNA
Marine RNA virus SF-3,Marnaviridae,ssRNA(+)
Marine RNA virus SF-2,Marnaviridae,ssRNA(+)
Pepper leafroll virus,Geminiviridae,ssDNA(+/-)
Turkey calicivirus,Caliciviridae,ssRNA(+)
Marine RNA virus SF-1,Marnaviridae,ssRNA(+)
Vernonia yellow vein Fujian virus,Geminiviridae,ssDNA(+/-)
Bhendi yellow vein Haryana virus [2003:Karnal],Geminiviridae,ssDNA(+/-)
Tulane virus,Caliciviridae,ssRNA(+)
Mukawa virus,Phenuiviridae,ssRNA(+/-)
Persea americana chrysovirus,Chrysoviridae,dsRNA
Yellow head virus,Roniviridae,ssRNA(+)
Groundnut ringspot virus,Tospoviridae,ssRNA(+/-)
Wuhan Millipede Virus 2,Wupedeviridae,ssRNA(-)
Extra small virus,Sarthroviridae,ssRNA(+)
Extra small virus,Sarthroviridae,ssRNA(+)
Extra small virus,Sarthroviridae,ssRNA(+)
Extra small virus,Sarthroviridae,ssRNA(+)
Extra small virus,Sarthroviridae,ssRNA(+)
Extra small virus,Sarthroviridae,ssRNA(+)
Extra small virus,Sarthroviridae,ssRNA(+)
Cladosporium fulvum T-1 virus,Metaviridae,ssRNA-RT
Xinzhou nematode virus 6,Tobaniviridae,ssRNA(+)
Ofaie virus,Mesoniviridae,ssRNA(+)
Kadiweu virus,Mesoniviridae,ssRNA(+)
Beihai rhabdo-like virus 3,Nyamiviridae,ssRNA(-)
Orinoco virus,Nyamiviridae,ssRNA(-)
Drosophila unispina virus 1,Xinmoviridae,ssRNA(-)
Sclerotinia sclerotiorum negative-stranded RNA virus 4,Mymonaviridae,ssRNA(-)
Pidgey virus,Phenuiviridae,ssRNA(-)
Mothra virus,Phenuiviridae,ssRNA(-)
Wuhan louse fly virus 6,Chuviridae,ssRNA(-)
Shingleback nidovirus 1,Tobaniviridae,ssRNA(+)
Wuchang Cockroach Virus 3,Chuviridae,ssRNA(-)
Wuhan Louse Fly Virus 7,Chuviridae,ssRNA(-)
Enterobacter virus F20,Drexlerviridae,dsDNA
Jembrana disease virus,Retroviridae,ssRNA-RT
Cordyline virus 2,Closteroviridae,ssRNA(+)
Severe fever with thrombocytopenia virus,Phenuiviridae,ssRNA(+/-)
Tomato yellow leaf curl China alphasatellite,Alphasatellitidae,ssDNA
Potato virus B,Secoviridae,ssRNA(+)
Protoparvovirus Zsana/2013/HUN,Parvoviridae,ssDNA(+/-)
Guenon simian foamy virus,Retroviridae,ssRNA-RT
Haartman Institute snake virus,Arenaviridae,ssRNA(+/-)
Artashat orthonairovirus,Nairoviridae,ssRNA(-)
Burana virus,Nairoviridae,ssRNA(-)
Chim orthonairovirus,Nairoviridae,ssRNA(-)
Sweet potato golden vein Korea virus,Geminiviridae,ssDNA(+/-)
Banana bunchy top alphasatellite 2,Alphasatellitidae,ssDNA
Chaetoceros setoense DNA virus,Bacilladnaviridae,ssDNA
M'Poko virus,Peribunyaviridae,ssRNA(-)
Satellite tobacco necrosis virus C,,ssRNA(+)
Ageratum yellow vein Sri Lanka betasatellite,Tolecusatellitidae,ssDNA
Ageratum yellow vein India betasatellite,Tolecusatellitidae,ssDNA
Aeropyrum coil-shaped virus,Spiraviridae,ssDNA(+)
Kirsten murine sarcoma virus,Retroviridae,ssRNA-RT
Tulip mosaic virus,Potyviridae,ssRNA(+)
Tuberose mild mottle virus,Potyviridae,ssRNA(+)
Malva vein clearing virus,Potyviridae,ssRNA(+)
Henbane mosaic virus,Potyviridae,ssRNA(+)
Butterfly flower mosaic virus,Potyviridae,ssRNA(+)
Amaranthus leaf mottle virus,Potyviridae,ssRNA(+)
Chickpea stunt disease associated virus,Solemoviridae,ssRNA(+)
Eupatorium yellow vein virus-[MNS2],Geminiviridae,ssDNA(+/-)
Olive leaf yellowing-associated virus,Closteroviridae,ssRNA(+)
Astrovirus dogfaeces/Italy/2005,Astroviridae,ssRNA(+)
Torque teno virus 22,Anelloviridae,ssDNA(-)
Torque teno virus 18,Anelloviridae,ssDNA(-)
Torque teno virus 17,Anelloviridae,ssDNA(-)
Phlomis mottle virus,Betaflexiviridae,ssRNA(+)
Apricot latent ringspot virus,Secoviridae,ssRNA(+)
Phocid alphaherpesvirus 1,Orthoherpesviridae,dsDNA
Necocli virus,Hantaviridae,ssRNA(-)
Pineapple mealybug wilt-associated virus 3,Closteroviridae,ssRNA(+)
Great tit adenovirus 1,Adenoviridae,dsDNA
Avian myeloblastosis virus,Retroviridae,ssRNA-RT
Una virus,Togaviridae,ssRNA(+)
Trocara virus,Togaviridae,ssRNA(+)
Poa semilatent virus,Virgaviridae,ssRNA(+)
Drakaea virus A,Virgaviridae,ssRNA(+)
Aspergillus ochraceous virus,Partitiviridae,dsRNA
Beet cryptic virus 3,Partitiviridae,dsRNA
Heterobasidion annosum P-type partitivirus,Partitiviridae,dsRNA
Helicobasidium mompa dsRNA mycovirus,Partitiviridae,dsRNA
Ranunculus white mottle virus,Aspiviridae,ssRNA(-)
Stocky prune virus,Secoviridae,ssRNA(+)
Broad bean stain virus,Secoviridae,ssRNA(+)
Snyder-Theilen feline sarcoma virus,Retroviridae,ssRNA-RT
Frijoles virus VP-161A,Phenuiviridae,ssRNA(+/-)
Groundnut yellow spot virus,Tospoviridae,ssRNA(+/-)
Tobacco mottle virus,Tombusviridae,ssRNA(+)
Deltasatellite sat-603,Tolecusatellitidae,ssDNA
New World begomovirus associated satellite DNA isolate 404N1,Tolecusatellitidae,ssDNA
Ipomea begomovirus satellite 1,Tolecusatellitidae,ssDNA
New World begomovirus associated satellite DNA isolate 412N1,Tolecusatellitidae,ssDNA
New World begomovirus associated satellite DNA isolate 228H1,Tolecusatellitidae,ssDNA
New World begomovirus associated satellite DNA isolate H1,Tolecusatellitidae,ssDNA
Una virus,Togaviridae,ssRNA(+)
Trocara virus,Togaviridae,ssRNA(+)
Extra small virus,Sarthroviridae,ssRNA(+)
Chick syncytial virus,Retroviridae,ssRNA-RT
Walleye epidermal hyperplasia virus 2,Retroviridae,ssRNA-RT
Walleye epidermal hyperplasia virus 1,Retroviridae,ssRNA-RT
Endogenous langur type D retrovirus PO-1-Lu,Retroviridae,ssRNA-RT
Wongorr virus,Sedoreoviridae,dsRNA
Ceratobium mosaic virus,Potyviridae,ssRNA(+)
Eriocheir sinensis reovirus,Sedoreoviridae,dsRNA
Squirrel fibroma virus,Poxviridae,dsDNA
Quailpox virus,Poxviridae,dsDNA
Spartina mottle virus,Potyviridae,ssRNA(+)
Oxbow virus,Hantaviridae,ssRNA(-)
Zucchini yellow fleck virus,Potyviridae,ssRNA(+)
Zucchini shoestring virus,Potyviridae,ssRNA(+)
Watermelon leaf mottle virus,Potyviridae,ssRNA(+)
Vallota mosaic virus,Potyviridae,ssRNA(+)
Twisted-stalk chlorotic streak virus,Potyviridae,ssRNA(+)
Tulip breaking virus,Potyviridae,ssRNA(+)
Tuberose mild mosaic virus,Potyviridae,ssRNA(+)
Tradescantia mild mosaic virus,Potyviridae,ssRNA(+)
Sunflower mosaic virus,Potyviridae,ssRNA(+)
Spiranthes mosaic virus 3,Potyviridae,ssRNA(+)
Sarcochilus virus Y,Potyviridae,ssRNA(+)
Rhopalanthe virus Y,Potyviridae,ssRNA(+)
Ranunculus mosaic virus,Potyviridae,ssRNA(+)
Ranunculus mild mosaic virus,Potyviridae,ssRNA(+)
Ranunculus leaf distortion virus,Potyviridae,ssRNA(+)
Pleione virus Y,Potyviridae,ssRNA(+)
Pfaffia mosaic virus,Potyviridae,ssRNA(+)
Passiflora chlorosis virus,Potyviridae,ssRNA(+)
Ornithogalum virus 3,Potyviridae,ssRNA(+)
Ornithogalum virus 2,Potyviridae,ssRNA(+)
Nerine yellow stripe virus,Potyviridae,ssRNA(+)
Meadow saffron breaking virus,Potyviridae,ssRNA(+)
Lycoris mild mottle virus,Potyviridae,ssRNA(+)
Kalanchoe mosaic virus,Potyviridae,ssRNA(+)
Iris mild mosaic virus,Potyviridae,ssRNA(+)
Hibbertia virus Y,Potyviridae,ssRNA(+)
Diuris virus Y,Potyviridae,ssRNA(+)
Cypripedium virus Y,Potyviridae,ssRNA(+)
Clitoria virus Y,Potyviridae,ssRNA(+)
Chinese artichoke mosaic virus,Potyviridae,ssRNA(+)
Carrot virus Y,Potyviridae,ssRNA(+)
Carnation vein mottle virus,Potyviridae,ssRNA(+)
Calanthe mild mosaic virus,Potyviridae,ssRNA(+)
Araujia mosaic virus,Potyviridae,ssRNA(+)
Angelica virus Y,Potyviridae,ssRNA(+)
Amazon lily mosaic virus,Potyviridae,ssRNA(+)
Alternanthera mild mosaic virus,Potyviridae,ssRNA(+)
Alstroemeria mosaic virus,Potyviridae,ssRNA(+)
Narcissus latent virus,Potyviridae,ssRNA(+)
Maclura mosaic virus,Potyviridae,ssRNA(+)
Alpinia mosaic virus,Potyviridae,ssRNA(+)
Cotesia kariyai bracovirus,Polydnaviriformidae,dsDNA
Chrysochromulina brevifilum virus PW1,Phycodnaviridae,dsDNA
Micromonas pusilla virus SP1,Phycodnaviridae,dsDNA
Ectocarpus fasciculatus virus a,Phycodnaviridae,dsDNA
Longquan virus,Hantaviridae,ssRNA(-)
Barley yellow dwarf virus SGV,Solemoviridae,ssRNA(+)
Barley yellow dwarf virus kerIII,Tombusviridae,ssRNA(+)
Tomato golden leaf distortion virus,Geminiviridae,ssDNA(+/-)
Eupatorium yellow vein virus-[Japan:Kagawa:Tomato:1997],Geminiviridae,ssDNA(+/-)
Eupatorium yellow vein virus-[Suya],Geminiviridae,ssDNA(+/-)
Eupatorium yellow vein virus - [Yamaguchi],Geminiviridae,ssDNA(+/-)
San Perlita virus,Flaviviridae,ssRNA(+)
Sal Vieja virus,Flaviviridae,ssRNA(+)
Koutango virus,Flaviviridae,ssRNA(+)
Israel turkey meningoencephalomyelitis virus,Flaviviridae,ssRNA(+)
Dakar bat virus,Flaviviridae,ssRNA(+)
Cowbone Ridge virus,Flaviviridae,ssRNA(+)
Carey Island virus,Flaviviridae,ssRNA(+)
Bukalasa bat virus,Flaviviridae,ssRNA(+)
Banzi virus,Flaviviridae,ssRNA(+)
Basella alba alphaendornavirus 1,Endornaviridae,dsRNA
Cordyline virus 4,Closteroviridae,ssRNA(+)
Cordyline virus 3,Closteroviridae,ssRNA(+)
Beet yellow stunt virus,Closteroviridae,ssRNA(+)
Pineapple mealybug wilt-associated virus 2,Closteroviridae,ssRNA(+)
Spiraea yellow leafspot virus,Caulimoviridae,dsDNA-RT
Bat astrovirus Tm/Guangxi/LD38/2007,Astroviridae,ssRNA(+)
Mamastrovirus 18,Astroviridae,ssRNA(+)
Mamastrovirus 16,Astroviridae,ssRNA(+)
Bat astrovirus Tm/Guangxi/LD77/2007,Astroviridae,ssRNA(+)
Mamastrovirus 14,Astroviridae,ssRNA(+)
Bat astrovirus Tm/Guangxi/LD71/2007,Astroviridae,ssRNA(+)
Mamastrovirus 11,Astroviridae,ssRNA(+)
Bottlenose dolphin astrovirus 1,Astroviridae,ssRNA(+)
Vicia cryptic virus M,Amalgaviridae,dsRNA
Ovine adenovirus 1,Adenoviridae,dsDNA
Bovine adenovirus 10,Adenoviridae,dsDNA
Falconid adenovirus 1,Adenoviridae,dsDNA
Wild cucumber mosaic virus,Tymoviridae,ssRNA(+)
Petunia vein banding virus,Tymoviridae,ssRNA(+)
Passion fruit yellow mosaic virus,Tymoviridae,ssRNA(+)
Mint virus 2,Betaflexiviridae,ssRNA(+)
Actinidia virus A,Betaflexiviridae,ssRNA(+)
Banana virus X,Betaflexiviridae,ssRNA(+)
Verbena latent virus,Betaflexiviridae,ssRNA(+)
Sint-Jan onion latent virus,Betaflexiviridae,ssRNA(+)
Phlox virus M,Betaflexiviridae,ssRNA(+)
Helleborus mosaic virus,Betaflexiviridae,ssRNA(+)
Cucumber vein-clearing virus,Betaflexiviridae,ssRNA(+)
Caper latent virus,Betaflexiviridae,ssRNA(+)
Lagenaria mild mosaic virus,Alphaflexiviridae,ssRNA(+)
Dandelion yellow mosaic virus,Secoviridae,ssRNA(+)
Cocoa necrosis virus,Secoviridae,ssRNA(+)
Blueberry leaf mottle virus,Secoviridae,ssRNA(+)
Black Creek Canal orthohantavirus,Hantaviridae,ssRNA(-)
Bat picornavirus BatPV/V1/13 Hun,Picornaviridae,ssRNA(+)
Bat picornavirus,Picornaviridae,ssRNA(+)
Asikkala orthohantavirus,Hantaviridae,ssRNA(-)
Bas-Congo tibrovirus,Rhabdoviridae,ssRNA(-)
Muscina stabulans sigmavirus,Rhabdoviridae,ssRNA(-)
Drosophila tristis sigmavirus,Rhabdoviridae,ssRNA(-)
Strawberry crinkle virus,Rhabdoviridae,ssRNA(-)
Iguanid herpesvirus 2,,dsDNA
Phocid gammaherpesvirus 2,Orthoherpesviridae,dsDNA
Equid gammaherpesvirus 7,Orthoherpesviridae,dsDNA
Hippotragine gammaherpesvirus 1,Orthoherpesviridae,dsDNA
Caprine gammaherpesvirus 2,Orthoherpesviridae,dsDNA
Papiine gammaherpesvirus 1,Orthoherpesviridae,dsDNA
Cervid alphaherpesvirus 2,Orthoherpesviridae,dsDNA
Cervid alphaherpesvirus 1,Orthoherpesviridae,dsDNA
Caprine alphaherpesvirus 1,Orthoherpesviridae,dsDNA
Bubaline alphaherpesvirus 1,Orthoherpesviridae,dsDNA
lung-eye-trachea disease-associated herpesvirus,Orthoherpesviridae,dsDNA
Macropodid alphaherpesvirus 2,Orthoherpesviridae,dsDNA
Gouleako virus,Phenuiviridae,ssRNA(-)
Bovine alphaherpesvirus 2,Orthoherpesviridae,dsDNA
Cumuto virus,Phenuiviridae,ssRNA(-)
Salmonid herpesvirus 2,Alloherpesviridae,dsDNA
Salmonid herpesvirus 1,Alloherpesviridae,dsDNA
Acipenserid herpesvirus 2,Alloherpesviridae,dsDNA
Shuangao Insect Virus 2,Phasmaviridae,ssRNA(-)
Umbre virus,Peribunyaviridae,ssRNA(-)
Thimiri orthobunyavirus,Peribunyaviridae,ssRNA(-)
Ferak virus,Phasmaviridae,ssRNA(-)
Aeropyrum pernix bacilliform virus 1,Clavaviridae,dsDNA
Stenotrophomonas phage phiSMA6,Inoviridae,ssDNA(+)
Escherichia phage ID62,Microviridae,ssDNA(+)
Escherichia phage ID32,Microviridae,ssDNA(+)
Escherichia phage NC29,Microviridae,ssDNA(+)
Escherichia phage NC28,Microviridae,ssDNA(+)
Escherichia phage ID21,Microviridae,ssDNA(+)
Escherichia phage NC35,Microviridae,ssDNA(+)
Escherichia phage WA45,Microviridae,ssDNA(+)
Escherichia phage ID52,Microviridae,ssDNA(+)
Xanthomonas phage Xf109,Inoviridae,ssDNA(+)
Bacillus virus PBS1,,dsDNA
Hunter Island virus,Phenuiviridae,ssRNA(+/-)
Escherichia virus BF23,Demerecviridae,dsDNA
Enterobacter phage Enc34,Casjensviridae,dsDNA
Escherichia virus H8,Demerecviridae,dsDNA
Mycobacterium virus Microwolf,,dsDNA
Pseudomonas phage PaP4,,dsDNA
Mycobacterium virus JHC117,,dsDNA
Mycobacterium virus Astro,,dsDNA
Xylella phage Salvo,Casjensviridae,dsDNA
Mycobacterium virus Rebeuca,,dsDNA
Mycobacterium virus Goose,,dsDNA
Mycobacterium virus Arturo,,dsDNA
Lactococcus virus ASCC273,,dsDNA
Mycobacterium virus LHTSCC,,dsDNA
Mycobacterium virus Cuco,,dsDNA
Mycobacterium virus Benedict,,dsDNA
Mycobacterium virus Ericb,,dsDNA
Mycobacterium virus Littlee,,dsDNA
Mycobacterium virus Hammer,,dsDNA
Pseudomonas virus H66,,dsDNA
Lactococcus virus ASCC532,,dsDNA
Mycobacterium virus DotProduct,,dsDNA
Mycobacterium virus Jeffabunny,,dsDNA
Mycobacterium virus Jaws,,dsDNA
Mycobacterium virus Mrgordo,,dsDNA
Mycobacterium virus Pixie,,dsDNA
Mycobacterium virus Kssjeb,,dsDNA
Mycobacterium virus Dlane,,dsDNA
Mycobacterium virus Heldan,,dsDNA
Mycobacterium virus BBPiebs31,,dsDNA
Xylella phage Sano,Casjensviridae,dsDNA
Mycobacterium virus Macncheese,,dsDNA
Lactococcus virus ASCC465,,dsDNA
Lactococcus virus ASCC281,,dsDNA
Mycobacterium virus Museum,,dsDNA
Mycobacterium virus Mozy,,dsDNA
Mycobacterium virus JC27,,dsDNA
Mycobacterium virus Ibhubesi,,dsDNA
Mycobacterium virus Baka,,dsDNA
Mycobacterium virus Saintus,,dsDNA
Mycobacterium virus Lesedi,,dsDNA
Salinibacter virus M31CR41-2,,dsDNA
Salinibacter virus M8CRM1,,dsDNA
Corynebacterium phage phi673,,dsDNA
Mycobacterium virus RockyHorror,,dsDNA
Salinibacter virus SRUTV1,,dsDNA
Salinibacter virus M1EM1,,dsDNA
Salmonella virus BTP1,,dsDNA
Corynebacterium phage phi674,,dsDNA
Mycobacterium virus JoeDirt,Vilmaviridae,dsDNA
Mycobacterium virus George,,dsDNA
Mycobacterium virus Backyardigan,,dsDNA
Mycobacterium virus Packman,,dsDNA
Mycobacterium virus Gladiator,,dsDNA
Salinibacter virus M8CR30-2,,dsDNA
Salinibacter virus M8CC19,,dsDNA
Sulfolobus ellipsoid virus 1,Ovaliviridae,dsDNA
Gallid alphaherpesvirus 1,Orthoherpesviridae,dsDNA
Bacillus virus BM15,Herelleviridae,dsDNA
Pseudomonas phage SM1,,dsDNA
Klebsiella phage PMBT1,Straboviridae,dsDNA
Acinetobacter phage Loki,,dsDNA
Vibrio phage VP4B,,dsDNA
Pseudomonas phage JBD67,,dsDNA
Enterococcus phage AUEF3,,dsDNA
Bacillus phage SIOphi,Herelleviridae,dsDNA
Gordonia phage Sour,,dsDNA
Pectobacterium phage vB_PatP_CB5,Autographiviridae,dsDNA
Escherichia phage slur04,Straboviridae,dsDNA
Escherichia phage slur03,Straboviridae,dsDNA
Escherichia phage RCS47,,dsDNA
Enterococcus phage vB_EfaS_AL2,,dsDNA
Enterococcus phage vB_EfaS_AL3,,dsDNA
Enterococcus phage LY0322,,dsDNA
Acinetobacter phage vB_AbaP_D2,Autographiviridae,dsDNA
Gordonia phage Waits,,dsDNA
Enterobacter phage Ec_L1,Drexlerviridae,dsDNA
Pseudoalteromonas phage Cr39582,Corticoviridae,dsDNA
Pantoea phage vB_PagS_Vid5,,dsDNA
Microbacterium phage Pikmin,,dsDNA
Microbacterium phage Koji,,dsDNA
Microbacterium phage Golden,,dsDNA
Yersinia phage fHe-Yen9-04,,dsDNA
Pseudomonas phage vB_PaeS_PAO1_Ab19,Mesyanzhinovviridae,dsDNA
Streptococcus phage CP-7,Salasmaviridae,dsDNA
Pseudomonas phage vB_PaeM_C2-10_Ab02,,dsDNA
Campylobacter virus CP81,,dsDNA
Microbacterium phage Ilzat,,dsDNA
Microbacterium phage Hamlet,,dsDNA
