Organism_Name,Family,Genome.composition
Upolu virus,Orthomyxoviridae,ssRNA(-)
Acheta domesticus iflavirus,Iflaviridae,ssRNA(+)
Tjuloc virus,Orthomyxoviridae,ssRNA(-)
Grapevine nepovirus A,Secoviridae,ssRNA(+)
Plasmopara viticola lesion associated mycobunyavirales-like virus 8,Discoviridae,RNA
Plasmopara viticola lesion associated mycobunyavirales-like virus 4,Discoviridae,RNA
Scaphoideus titanus bunya-like virus 1,Phasmaviridae,ssRNA(-)
Phaseolus vulgaris severe mosaic virus,Secoviridae,ssRNA(+)
Pineapple secovirus A,Secoviridae,ssRNA(+)
Coredo virus,Phasmaviridae,ssRNA(-)
Jos virus,Orthomyxoviridae,ssRNA(-)
Flen virus,Phasmaviridae,ssRNA(-)
Pilchard orthomyxovirus,Orthomyxoviridae,ssRNA(-)
Penicillium roseopurpureum negative ssRNA virus 1,Discoviridae,RNA
Thailand tick thogotovirus,Orthomyxoviridae,ssRNA(-)
Pepper mild mosaic virus,Secoviridae,ssRNA(+)
Caraway yellows virus,Secoviridae,ssRNA(+)
Arabidopsis latent virus-1,Secoviridae,ssRNA(+)
Bourbon virus,Orthomyxoviridae,ssRNA(-)
Green Sichuan pepper nepovirus,Secoviridae,ssRNA(+)
Penicillium discovirus,Discoviridae,RNA
Hadaka virus 1,Hadakaviridae,RNA
Largemouth bass bunyavirus,Peribunyaviridae,ssRNA(-)
Lakamha virus,Peribunyaviridae,ssRNA(-)
Khurdun virus,Peribunyaviridae,ssRNA(-)
Rainbow trout orthomyxovirus-1,Orthomyxoviridae,ssRNA(-)
Lena virus,Hantaviridae,ssRNA(-)
Red clover varicosavirus,Rhabdoviridae,ssRNA(-)
Rhizoctonia solani dsRNA virus 1,Curvulaviridae,RNA
Salado virus,Chrysoviridae,dsRNA
Grapevine associated cogu-like virus 4,Phenuiviridae,ssRNA(-)
Lilac chlorotic ringspot-associated virus,Fimoviridae,ssRNA(-)
Grapevine associated cogu-like virus 3,Phenuiviridae,ssRNA(-)
Grapevine associated cogu-like virus 2,Phenuiviridae,ssRNA(-)
Grapevine associated cogu-like virus 1,Phenuiviridae,ssRNA(-)
Emaravirus verbanni,Fimoviridae,ssRNA(-)
Emaravirus camelliae,Fimoviridae,ssRNA(-)
European wheat striate mosaic virus,Phenuiviridae,ssRNA(-)
Grapevine Garan dmak virus,Phenuiviridae,RNA
Grapevine Muscat rose virus,Phenuiviridae,RNA
Pear chlorotic leaf spot-associated virus,Fimoviridae,ssRNA(-)
Tomato fruit blotch virus,Kitaviridae,ssRNA(+)
